topology_avg_eigenvector_centrality,transError.mean.std
0.137505066747,0.187622165382
0.112870781893,0.117509395197
0.113226954911,0.150879627982
0.15823892784,0.0626106276575
0.220862517752,0.0363222141704
0.289813254238,0.0240230927776
0.255343126462,0.0231752964896
0.110396908215,0.244942705536
0.123966518411,0.118403445404
0.145353392472,0.25684750383
0.168397280035,0.0468835943002
0.219330026797,0.0525575836354
0.21036718925,0.0652650350355
0.207059648579,0.0380406378831
0.204125528772,0.048698079138
0.218161382726,0.0471928668924
0.230939345144,0.015699391456
0.215357473045,0.0795487657361
0.133192244046,0.0609893108178
0.569035593729,0.0634488000674
0.112421327167,0.157331633444
0.189310947774,0.225853461955
0.117099210659,0.335983825039
0.160895527543,0.192289958812
0.150746564917,0.0925116985357
0.125390723695,0.173005460782
0.187043352329,0.150862439925
0.184013731576,0.113382526137
0.19511088322,0.0940625752148
0.13865641287,0.228409668405
0.110011276684,0.0484971177734
0.118473793797,0.0700468458533
0.126010953526,0.287812908678
0.148732170502,0.109859637786
0.0976862702812,0.30823195051
0.101913121764,0.251954545215
0.0917543071379,0.158847840005
0.102965149381,0.112238353718
0.243823786365,0.0402882774962
0.0996411169057,0.0825251437691
0.141536517399,0.1264444763
0.202768108095,0.0703616797672
0.103876954315,0.114763250904
0.177507132432,0.0896356459078
0.177732551984,0.185040710074
0.0849988140114,0.14370205831
0.145123925159,0.281651273406
0.115000447066,0.217198105027
0.137963629888,0.0868164172079
0.19029821377,0.121972989288
0.212455101814,0.0844506183324
0.14158313783,0.0812632064472
0.175986025184,0.0478290808047
0.179686344074,0.165411061738
0.150600129793,0.063039235743
0.124066045206,0.0862053699096
0.162656297032,0.123650418782
0.152601241746,0.166220167829
0.176734832805,0.205108169667
0.138402754199,0.067525357097
0.174127568122,0.0711609699581
0.211605641264,0.0754858045801
0.194446635085,0.0664587250454
0.207590251003,0.06593977187
0.124928999144,0.17018166168
0.180911427975,0.060063217006
0.144827625308,0.14039673261
0.216969516308,0.0600886637503
0.133171073548,0.141798879212
0.131709467573,0.259118831645
0.213365923892,0.0554747715395
0.162006200604,0.22720282762
0.192836011616,0.0490437767207
0.142728448751,0.0852449136299

5-Fold RMSE:,0.0738803053751,0.0773914437418,0.0639292766316,0.107010007336,0.107010007336
Average 5-Fold RMSE:,0.0757561316611

5-Fold rsquared:,0.148931080014,0.0402024755505,-0.840787848956,0.273715013133,0.273715013133
Average 5-Fold rsquared:,-0.0528050603316
