topology_nodes,rotError.mean.mean
41,0.00781177272727
25,0.00518106666667
13,0.00745268421053
10,0.00380332142857
12,0.00530514285714
47,0.0108654444444
38,0.0100377916667
24,0.00976259090909
19,0.00654347826087
15,0.00574740540541
17,0.0063216
15,0.00609472
16,0.00695146666667
16,0.00530697297297
15,0.00419643333333
16,0.00586774285714
25,0.0080334137931
3,0.00957582352941
47,0.0113755652174
19,0.00664728571429
43,0.00940933333333
26,0.00862580769231
29,0.0175163076923
34,0.00585915384615
19,0.0080592
20,0.00719391304348
19,0.0116620333333
30,0.0185035384615
37,0.00794823076923
37,0.00808536363636
35,0.00828783870968
25,0.0090522
63,0.0130484230769
46,0.0102915384615
48,0.0115043333333
52,0.0112823142857
13,0.00535094117647
40,0.0116517083333
32,0.00985292
17,0.00736969230769
42,0.0124235769231
23,0.0109033461538
21,0.00870517391304
46,0.00633515384615
30,0.0100060769231
40,0.00994803703704
27,0.0114515483871
19,0.00746737837838
16,0.0102650357143
27,0.0086655
21,0.0111931666667
20,0.00878128
23,0.00787177777778
38,0.0083908
24,0.013150075
25,0.0103568888889
20,0.00629451282051
30,0.0100887741935
22,0.0114415
16,0.0108286829268
19,0.00529
17,0.0074369
35,0.0108653666667
21,0.00650085185185
30,0.0107349090909
16,0.00662575862069
37,0.0108217916667
35,0.00683478125
16,0.00717885185185
42,0.0361834583333
24,0.00648584615385
19,0.00584372
30,0.0060295
35,0.0163589615385

5-Fold RMSE:,0.00248265221849,0.00266419560859,0.00703626169617,0.00256782043895,0.00256782043895
Average 5-Fold RMSE:,0.00357950336551

5-Fold rsquared:,0.440980362976,0.0874587237056,0.0652468508033,-0.0122432177191,-0.0122432177191
Average 5-Fold rsquared:,0.147217254183
