topology_radius,transError.mean.mean
4,0.616674277778
3,0.513207166667
4,0.511799
3,0.347489733333
3,0.178033842105
3,0.111519571429
1,0.135674892857
3,0.567853258065
3,0.483538
4,0.364766782609
3,0.266804521739
3,0.136014027027
3,0.1602634
3,0.11330008
3,0.120517266667
1,0.168592444444
2,0.1753349
1,0.250973828571
4,0.255138206897
1,0.275744352941
3,0.572332
2,0.401876478261
3,0.667381558824
2,0.601016714286
2,0.428635214286
3,0.534300857143
2,0.392818764706
2,0.511895521739
1,0.3828526
4,0.480142294118
7,0.200632047619
4,0.214672086957
3,0.310588818182
4,0.63580396
5,0.357241074074
4,0.322165133333
4,0.302912058824
4,0.44758759375
2,0.0879599565217
4,0.224303125
4,0.388622
2,0.297397730769
5,0.663971375
3,0.551063954545
3,0.31300125
6,0.4318884
2,0.465919793103
4,0.471419
4,0.317696542857
2,0.366169390244
2,0.301987178571
4,0.381142583333
2,0.2053401
3,0.189486166667
3,0.273704222222
4,0.42013416
3,0.323464547619
4,0.429869033333
3,0.367336428571
5,0.283932129032
3,0.19405875
2,0.191225219512
3,0.285231925926
3,0.3031
4,0.475740875
3,0.236201074074
2,0.54542925
1,0.154262137931
3,0.423788730769
3,0.337108057143
3,0.189719777778
3,0.29107
3,0.17891308
3,0.367190842105

5-Fold RMSE:,0.166247761512,0.138278986584,0.151748997762,0.129293397565,0.129293397565
Average 5-Fold RMSE:,0.150036175735

5-Fold rsquared:,-0.443733341774,-0.621336965245,-0.00263542887361,0.0404927413804,0.0404927413804
Average 5-Fold rsquared:,-0.180445589279
