totalTime,rotError.std.mean
7629.68333333,0.0196438888889
7180.75,0.0581752916667
7743.55652174,0.0138309130435
5871.41333333,0.00848306666667
2281.97894737,0.00990715789474
1354.59642857,0.00666489285714
1659.58214286,0.00854714285714
5198.54516129,0.0155064516129
5477.86666667,0.0139629166667
3536.62173913,0.0146126956522
2830.96086957,0.00927660869565
1745.23513514,0.00886394594595
2208.06285714,0.0103236571429
1662.192,0.00831244
1609.00666667,0.0120980666667
2145.56944444,0.00897186111111
2048.65333333,0.0070672
3052.23428571,0.00862697142857
3764.16896552,0.0107663448276
3581.27058824,0.0146358235294
7052.875,0.0165645
4358.37826087,0.00871552173913
9170.88235294,0.0233207058824
9315.98928571,0.0177865357143
3083.37857143,0.0435829285714
10644.2714286,0.0173028571429
5282.52058824,0.0134678235294
6047.27826087,0.0117434782609
3020.41666667,0.0171069
3506.38235294,0.0210941176471
2408.40952381,0.00869485714286
2618.1826087,0.00991634782609
3122.75454545,0.0162976363636
5479.196,0.01273672
4442.33333333,0.0216128148148
3697.00666667,0.0267318666667
3580.12352941,0.014787
5922.8125,0.01558596875
1650.44782609,0.00887017391304
3136.37916667,0.0136369583333
3913.77777778,0.0158112592593
2507.84230769,0.0110901538462
8273.10833333,0.016004875
5024.57727273,0.0116140454545
2868.95833333,0.0131456666667
5079.84,0.012016
5964.87241379,0.0138605172414
5847.58333333,0.0208444333333
2814.78857143,0.0209096857143
5177.86829268,0.0136826097561
2649.53928571,0.0140931785714
7307.11666667,0.013008
2228.52666667,0.0124418666667
2084.42916667,0.0115595416667
3423.01111111,0.0113095
6119.592,0.01085984
2439.62142857,0.0133554761905
4293.42333333,0.0143581333333
3703.52857143,0.00947095238095
3426.39032258,0.0113865483871
2034.859375,0.01360234375
1896.65609756,0.0114615121951
4133.45185185,0.00808462962963
2596.04,0.0116139666667
5151.05,0.01513984375
2637.14444444,0.0103575555556
5440.36666667,0.0177405833333
1954.06206897,0.0105403103448
4110.29615385,0.0159079615385
3653.46571429,0.0109016571429
2386.22592593,0.00975977777778
2968.16428571,0.0112861428571
2600.284,0.00749868
5058.65263158,0.00801097368421

5-Fold RMSE:,0.00268504557362,0.00403976188267,0.0092032173608,0.011215887713,0.011215887713
Average 5-Fold RMSE:,0.00628063179981

5-Fold rsquared:,-1.3594019443,-0.04676243205,-0.0122353894373,-0.0705047996604,-0.0705047996604
Average 5-Fold rsquared:,-0.293909492817
