avgRoomPerimeter,rotError.std.mean
1364.92084998,0.0136865652174
2504.05291544,0.00848306666667
397.608743609,0.00990715789474
158.574001973,0.00666489285714
635.88614888,0.00854714285714
108.968542951,0.0155064516129
1528.34984877,0.0139629166667
759.248936383,0.0146126956522
907.63600807,0.00927660869565
529.397177254,0.00886394594595
720.429585269,0.0103236571429
443.595373769,0.00831244
231.338538533,0.0120980666667
655.562672363,0.00897186111111
162.29472605,0.0070672
1446.42707976,0.00862697142857
1054.23420007,0.0111955416667
539.066583437,0.0146358235294
99.2869208384,0.0165645
252.355785617,0.00871552173913
191.722481992,0.0142774482759
379.091758694,0.0177865357143
262.262352826,0.0435829285714
191.601876363,0.01847425
294.819744545,0.0134678235294
252.559291854,0.0117434782609
632.972242461,0.0171069
707.007128463,0.0210941176471
152.416788175,0.00869485714286
511.089909024,0.00991634782609
855.595083334,0.0162976363636
3522.51982697,0.01273672
345.9363477,0.0216128148148
650.998139899,0.0267318666667
120.176589697,0.014787
264.066070953,0.01558596875
462.675505543,0.00887017391304
381.143373035,0.0132185
758.966768091,0.0158112592593
1344.71238759,0.0110901538462
351.259423682,0.016004875
575.918221531,0.0116140454545
973.132170798,0.0131456666667
557.871193445,0.012016
1503.33670222,0.0138605172414
774.553634232,0.0208444333333
555.98246505,0.0209096857143
2161.19207626,0.0136826097561
1410.68850812,0.0140931785714
2284.5563757,0.0134039285714
511.212845367,0.0124418666667
630.752429175,0.0149295555556
894.483397546,0.0113095
1099.36562113,0.01085984
630.451496107,0.0133554761905
1194.83545134,0.0143581333333
1792.08753811,0.00947095238095
525.16858287,0.0113865483871
391.018440217,0.0149370666667
645.16136179,0.0114615121951
2075.92330798,0.00805719230769
1164.69698299,0.0116139666667
248.223687618,0.01513984375
874.059231919,0.0103575555556
470.90808455,0.0177405833333
527.296427239,0.0105403103448
844.944967104,0.0159079615385
219.335679185,0.0123346818182
558.011810887,0.00975977777778
288.41201767,0.0120594285714
1406.85593365,0.0112861428571
682.400594462,0.00749868
2023.67071564,0.00801097368421
112.337263592,0.0182204166667
