voronoi_avg_eigenvector_centrality,rotError.numSamples.std
0.0100393514149,4496.65449768
0.0105135767838,1068.57195671
0.0172969873425,257.853455343
0.0409830675628,141.850142792
0.0273961100812,182.929460449
0.00775762679381,2244.05747734
0.00574053025445,3935.77212331
0.00607997285304,2874.5710625
0.0128790084879,363.803157271
0.017891627974,147.306005198
0.0253591873935,2626.374729
0.0288269155167,108.084781537
0.0272922929883,1084.0791156
0.0219058444332,180.818284498
0.0297781088292,273.731419461
0.0309749814202,642.991734482
0.0124757824752,702.453163625
0.00765770647817,1510.28589149
0.00766469551654,14872.7918784
0.0140504632514,720.79837633
0.00385958981256,9225.92445392
0.00941447966977,3023.39259484
0.0120101922236,2651.41884337
0.00768026339488,24043.8800652
0.0286332432184,1616.41335473
0.0137519009375,8919.29941979
0.0321153716337,1725.55951023
0.0117639351235,1863.36560045
0.0102993499896,624.17813537
0.00831972874981,620.469279434
0.00813539809992,857.003410118
0.0103366706799,5103.87888822
0.00323439217057,1966.19530209
0.00533722428878,1057.23261059
0.00771167569822,1483.83345876
0.00884825240827,3961.17166175
0.0385411562993,165.786311893
0.0125414231222,2139.14201672
0.013397586622,1428.99660238
0.0195939573205,968.189122803
0.00617839133906,5433.37490878
0.00780794728565,3842.62601996
0.0172809652214,1817.05743137
0.00757861267376,691.528513091
0.00720516326982,8506.08116752
0.00830849954476,3722.68290681
0.0193714444817,1936.04140841
0.00863855085793,4393.41939757
0.0157857386681,1687.4634671
0.00954335364902,2072.14962693
0.0189069640465,383.599850828
0.0181565375695,786.667567909
0.0127487196601,1917.94562562
0.00943801405487,2174.75877982
0.0123575452517,748.389444073
0.0092119796945,2608.69783514
0.0152906308222,1354.24201138
0.0110621006247,490.102011085
0.0107519721017,432.474999277
0.0109688701912,473.088895362
0.109089022235,597.094712473
0.0164346608041,1136.24840985
0.00825178595754,3100.93252085
0.0162847765897,803.781894131
0.00727309513956,1700.53022844
0.0159238280504,316.936671506
0.00813813888448,2065.32399555
0.0113764647388,1024.40711512
0.0145323256063,350.849437575
0.00351487462818,3504.51641908
0.014957737734,2631.23148885
0.011737521707,257.78020405
0.00855386841229,1433.91482635
0.00348930382443,4268.01882728

5-Fold RMSE:,3339.09351838,3741.51007884,5859.83299299,2317.30282458,2317.30282458
Average 5-Fold RMSE:,3335.68295201

5-Fold rsquared:,-0.242874178749,-2.23076291695,0.0348824466879,-0.0148932941289,-0.0148932941289
Average 5-Fold rsquared:,-0.498401435285
