voronoi_numBifurcationPoints,rotError.mean.std
131,0.00314194787486
162,0.000529720236435
88,0.00274200687267
28,0.000868010041646
44,0.000988470995105
93,0.00396421114784
197,0.00305267434636
146,0.00323725683059
85,0.00162224709611
52,0.00122251686463
48,0.00481593435646
39,0.00139556645188
38,0.00295561424787
52,0.000970277349218
41,0.00087903722649
32,0.00234359606884
114,0.00196300121238
145,0.00475371639426
119,0.00347532974758
68,0.00196074084985
195,0.00290945535533
107,0.0031687609811
98,0.00691864528074
126,0.00176297243951
66,0.00288446249643
58,0.00193137045088
41,0.00350567334933
125,0.0101955133655
107,0.00189316660463
145,0.00409306542765
141,0.0021898122043
92,0.00268365863701
268,0.00416085194839
214,0.00454871802084
145,0.00641385431356
178,0.00357712486121
36,0.00149199568169
104,0.00373159733983
117,0.00227211409784
49,0.00284573492967
160,0.00416717640221
159,0.00429998156474
62,0.00262143524665
102,0.0015716058183
137,0.00295077555546
155,0.00347412036809
94,0.00393376291854
135,0.00199420279203
84,0.00317220657184
144,0.00212895982035
67,0.00283126115696
90,0.00452986510634
71,0.00169591170353
126,0.00167382816322
81,0.00380101619562
134,0.00567736820441
82,0.00200585427637
94,0.00290650421563
80,0.00604227499064
74,0.00633767378436
13,0.00090005519672
58,0.00296056940863
123,0.00379557550738
65,0.0018376947053
121,0.00342684333818
60,0.0018378217927
111,0.0038392713065
148,0.00265952798602
101,0.00290145318257
228,0.127889138475
93,0.00273066403156
119,0.00140772643706
112,0.00163527502515
324,0.00529794026363

5-Fold RMSE:,0.0105546026117,0.00367022728371,0.00490838892919,0.0319194558512,0.0319194558512
Average 5-Fold RMSE:,0.010985684282

5-Fold rsquared:,-11.6488551923,-0.0609616807872,-20.6523949947,-10.1776694456,-10.1776694456
Average 5-Fold rsquared:,-14.6617073083
