area,transError.mean.mean
3629.2829625,0.494097045455
3749.9122125,0.347489733333
515.11,0.178033842105
92.620625,0.111519571429
419.118560455,0.135674892857
268.7265625,0.500454518519
2711.72494554,0.483538
1020.60351562,0.314663090909
1120.46556127,0.266804521739
441.159665625,0.136014027027
768.704681585,0.1602634
375.53625,0.11330008
214.91426475,0.120517266667
626.622469523,0.168670918919
121.8046875,0.1753349
1233.26750596,0.250973828571
2003.5,0.255138206897
1244.54759766,0.275744352941
279.4009375,0.550894956522
256.2996875,0.348672047619
434.9653125,0.556707151515
397.378125,0.560622653846
300.230625,0.375646230769
325.31,0.493396230769
231.629375,0.349249866667
235.2825,0.511895521739
547.4859375,0.3828526
1196.88557207,0.376691423077
322.763125,0.2061935
1235.16935698,0.234490727273
1486.08538919,0.250467741935
5351.94959335,0.63580396
1312.1154,0.298866
1269.8764875,0.263492076923
290.0184375,0.279235933333
704.7703125,0.469986628571
323.6559375,0.0827919117647
786.936585364,0.224303125
1276.3958515,0.36068872
1203.42228531,0.297397730769
774.963125,0.687380423077
786.40125,0.594765692308
1054.32679687,0.276685391304
1224.61670978,0.26799774359
2419.47625,0.394348115385
1934.39945026,0.407328592593
852.118300775,0.301939870968
2354.8528125,0.337777675676
1177.07375,0.301987178571
3249.62426032,0.381142583333
654.106850714,0.2053401
657.353612623,0.16422708
1073.86429004,0.273704222222
2396.76446011,0.42013416
1041.21327443,0.315128875
1933.90139917,0.391206259259
1647.76381253,0.319272923077
1218.21311288,0.283932129032
566.726642893,0.19405875
566.381786317,0.191225219512
2313.45559827,0.287816464286
1184.450625,0.3031
459.930625,0.4451378
1119.8547,0.236201074074
734.15,0.513622636364
534.7525,0.154262137931
1631.6725,0.395215916667
365.2209375,0.2822633125
460.9959375,0.189719777778
707.949375,0.513207166667
1710.57095749,0.240103076923
739.903125,0.17891308
2306.9446875,0.367190842105
441.6625,0.626637846154

5-Fold RMSE:,0.134937957193,0.146635834135,0.120949740262,0.171137110716,0.171137110716
Average 5-Fold RMSE:,0.13411978365

5-Fold rsquared:,0.0498801237113,0.102622646079,0.0333931029301,-0.148068676867,-0.148068676867
Average 5-Fold rsquared:,-0.00383176997761
