avgRoomArea,rotError.mean.std
7977.65771283,0.00314194787486
21173.5347899,0.000529720236435
624.168754832,0.00274200687267
80.8425765625,0.000868010041646
1471.88578033,0.000988470995105
34.881097464,0.00396421114784
2549.50107571,0.00305267434636
1963.40434773,0.00323725683059
2780.84323949,0.00162224709611
1048.19797,0.00122251686463
2295.96385831,0.00481593435646
722.891074407,0.00139556645188
238.733433348,0.00295561424787
1918.774887,0.000970277349218
68.8216068272,0.00087903722649
6551.51671392,0.00234359606884
6943.03896001,0.00196300121238
1733.7689016,0.00475371639426
35.6467956188,0.00347532974758
151.362690548,0.00196074084985
99.3657311669,0.00290945535533
301.946595142,0.0031687609811
121.68372176,0.00691864528074
117.729480802,0.00176297243951
159.178043584,0.00288446249643
159.188760688,0.00193137045088
859.936380576,0.00350567334933
1770.82512649,0.0101955133655
91.9816248562,0.00189316660463
1183.72809077,0.00409306542765
1997.3848037,0.0021898122043
49524.5924242,0.00268365863701
469.164697244,0.00416085194839
943.370778453,0.00454871802084
42.0407507992,0.00641385431356
199.193698175,0.00357712486121
788.58765325,0.00149199568169
453.458902845,0.00373159733983
1693.17206751,0.00227211409784
5552.49887159,0.00284573492967
363.343164941,0.00416717640221
1289.36416825,0.00429998156474
2951.87623731,0.00262143524665
977.277898735,0.0015716058183
5426.47434551,0.00295077555546
2722.63884182,0.00347412036809
1209.03521613,0.00393376291854
16879.3303371,0.00199420279203
5157.30973711,0.00317220657184
15832.5442995,0.00212895982035
1087.11846417,0.00283126115696
1294.3483084,0.00452986510634
2704.27313193,0.00169591170353
4465.17802586,0.00167382816322
2060.46065176,0.00380101619562
6566.39327632,0.00567736820441
7841.40851591,0.00200585427637
1885.83138054,0.00290650421563
684.955365045,0.00604227499064
1404.46439982,0.00633767378436
17362.1361915,0.00090005519672
5741.66815356,0.00296056940863
202.653527556,0.00379557550738
3232.68514713,0.0018376947053
654.353986368,0.00342684333818
1364.62420536,0.0018378217927
2100.80696472,0.0038392713065
114.824991211,0.00265952798602
1050.81706285,0.00290145318257
286.445046973,0.127889138475
5620.85672307,0.00273066403156
1918.72960961,0.00140772643706
5899.38741064,0.00163527502515
37.5123784326,0.00529794026363

5-Fold RMSE:,0.00326315566566,0.00582587764726,0.00293382532864,0.00260036771707,0.00260036771707
Average 5-Fold RMSE:,0.0096003649955

5-Fold rsquared:,-19.0905342939,-2.13178202524,-3.17501956579,-0.845663609221,-0.845663609221
Average 5-Fold rsquared:,-5.06478317768
