topology_numBifurcationPoints,transError.std.mean
20,0.778805
8,0.522405666667
12,0.611337304348
8,0.3833542
3,0.198447578947
2,0.12269
1,0.153758035714
14,0.492268548387
4,0.531760416667
5,0.440496478261
5,0.30601326087
3,0.133319189189
5,0.194677542857
2,0.11035772
9,0.139761666667
3,0.178345722222
4,0.2198439
1,0.243437428571
9,0.256086724138
0,0.338521882353
17,0.61062825
4,0.359939652174
6,0.708234558824
5,0.628137071429
9,0.443055071429
12,0.936557642857
1,0.398797941176
2,0.690604043478
1,0.404276533333
8,0.493052294118
12,0.232889238095
10,0.221677130435
7,0.341540409091
3,0.65674012
28,0.423536259259
10,0.4465398
15,0.306929823529
14,0.480697125
3,0.108247869565
10,0.236416833333
9,0.405104185185
3,0.273577115385
15,0.694026083333
5,0.480950272727
5,0.326498583333
22,0.4142652
3,0.500458896552
13,0.625794366667
5,0.379335257143
3,0.487031439024
3,0.309707785714
12,0.503770083333
3,0.218116833333
4,0.213804791667
7,0.310407555556
9,0.50208644
4,0.3024675
5,0.464581966667
3,0.379500214286
7,0.286365322581
4,0.19540578125
3,0.171382926829
3,0.326238777778
5,0.287927933333
7,0.50571615625
4,0.224714148148
6,0.500257916667
1,0.153626448276
3,0.398803653846
11,0.341757914286
3,0.203370592593
5,0.304974964286
4,0.17280424
5,0.366907921053

5-Fold RMSE:,0.180221665485,0.151568286258,0.186675799511,0.148918759668,0.148918759668
Average 5-Fold RMSE:,0.165565922414

5-Fold rsquared:,0.249123642193,-0.307697540635,-0.0372460820822,0.0847434658806,0.0847434658806
Average 5-Fold rsquared:,0.0240392677658
