roomPerimeter,rotError.numSamples.std
1588.62791478,5234.2224285
1351.09384402,1068.57195671
458.622966465,257.853455343
125.926169628,141.850142792
302.601396954,182.929460449
501.062394277,3510.04999446
1837.42341771,3935.77212331
688.861804167,4927.43898941
662.793955846,363.803157271
345.129490021,147.306005198
456.293929549,2626.374729
315.925559425,108.084781537
243.357074819,1084.0791156
409.663330218,183.153742003
203.831915727,273.731419461
608.510749633,642.991734482
811.724322072,736.775631788
789.405453777,1510.28589149
498.214112703,14727.7449601
349.485622363,2308.33572565
623.087494685,9784.61316845
506.227250231,8108.00744572
469.640967896,2866.01159506
470.629120514,25803.4507764
343.406315926,2219.38941949
349.626511091,8919.29941979
503.178792264,1725.55951023
824.277775057,3228.66340734
481.48305766,308.046732032
859.077312371,701.623265043
1023.76949412,12253.024445
1483.77049838,5103.87888822
1208.95867135,12190.977691
1173.67459887,10206.0904135
537.162909983,1947.88730019
845.005713505,4006.02426321
279.62861162,189.939449112
780.915742482,338.663728636
909.128599512,4015.83521781
623.395444333,968.189122803
787.160481335,5532.41528027
551.960813093,1328.17120275
655.096395443,4913.35122961
1086.4876646,897.213776087
1357.05101607,12782.2996962
1113.23214774,15884.6134701
636.640571297,3217.32940007
883.283838598,4350.15152402
638.505269241,1687.4634671
1290.51989442,2927.87105563
474.810346145,383.599850828
502.295701425,379.749169978
687.882051882,1917.94562562
1293.11063322,2174.75877982
602.61103687,1102.42140417
864.15979835,2925.49410622
846.661098224,3355.85891523
687.49670878,490.102011085
454.8062828,175.644666554
406.40042891,473.088895362
865.683726415,617.028443908
580.17017166,1136.24840985
551.429068269,4289.42952164
620.854347876,803.781894131
651.012500721,1881.63948857
367.406975129,316.936671506
1075.51367261,2151.72678867
533.159488544,6754.77336762
377.956377889,350.849437575
747.238694267,3895.98161441
900.193877884,9293.22106863
496.333168951,257.78020405
1394.54206022,1433.91482635
837.315270419,4998.19879432
