density,transError.std.std
0.00808823529412,0.197657005465
0.00955699352912,0.0888341978949
0.0116912972085,0.0536568207547
0.0344632768362,0.0531756045959
0.0215053763441,0.0388866547706
0.00925140387024,0.207135681695
0.00519180106663,0.204774691356
0.00722834459059,0.258492090208
0.0129516019087,0.0429963941514
0.0176991150442,0.0500640527086
0.0190476190476,0.160692173355
0.0253086419753,0.0364422115207
0.0246913580247,0.115579807708
0.0173913043478,0.0370592039719
0.0238095238095,0.0491585794691
0.0285714285714,0.0890782760547
0.0090424298632,0.092571482715
0.00713667820069,0.138087316178
0.00740202062177,0.283472780901
0.0131513647643,0.155756377989
0.00484541088869,0.273444335576
0.00866896039938,0.301796672041
0.010447761194,0.15137538147
0.00595238095238,1.09223982879
0.0151079136691,0.167680135625
0.0131567778627,0.390698889866
0.0238095238095,0.145785206544
0.00812851405622,0.23374692862
0.00904977375566,0.0547581142166
0.00721522115147,0.0669920319093
0.00719244167105,0.391347667119
0.0105263157895,0.258741211908
0.00400898812284,0.35561401166
0.00480478499412,0.382246016935
0.00671096345515,0.155138806672
0.0058288988948,0.177945288381
0.0263157894737,0.0530782981644
0.00938926320365,0.0549553057413
0.00892348585533,0.21615872905
0.0190476190476,0.0819226964463
0.00642957604983,0.293317732168
0.00740228294708,0.127652611947
0.015503875969,0.221674636893
0.00952380952381,0.0853392946102
0.00724618860868,0.357301613152
0.00697674418605,0.453233740742
0.0108634470337,0.179230997901
0.0097678694553,0.236587447923
0.0116271344097,0.110170635227
0.00765140004341,0.188751485919
0.013986013986,0.0621497895481
0.0114093556717,0.0834510200204
0.0137931034483,0.126944549297
0.00769163788349,0.109794391941
0.0118343195266,0.107098494917
0.00844979919679,0.151433371273
0.0132155083194,0.185990376251
0.0105814273905,0.064450068138
0.0116959064327,0.0378693543451
0.0121212121212,0.075847820682
0.103896103896,0.117333490955
0.0161290322581,0.129796983767
0.00793650793651,0.239664370415
0.013698630137,0.105334107197
0.00836649321498,0.149483092715
0.015873015873,0.0596299714663
0.0088868459358,0.141523549212
0.00749872902898,0.294155507688
0.0093023255814,0.0743403423368
0.00440412804838,0.198682666526
0.0104161102505,0.355724934863
0.00822963331674,0.0562958637779
0.00921283274224,0.116143743091
0.00318368544601,0.177137692319
