voronoi_avg_betweenness_centrality,transError.mean.std
0.0321313931569,0.187622165382
0.0419426953002,0.117509395197
0.0453083989501,0.150879627982
0.0506431441029,0.0626106276575
0.0688565543818,0.0363222141704
0.0824956165985,0.0240230927776
0.0912411571598,0.0231752964896
0.0512248343955,0.244942705536
0.0385499044432,0.118403445404
0.0533682183273,0.25684750383
0.0847704008547,0.0468835943002
0.101026753682,0.0525575836354
0.100138696255,0.0652650350355
0.0960540709486,0.0380406378831
0.0959134239725,0.048698079138
0.0856861275929,0.0471928668924
0.0833181465357,0.015699391456
0.112872975277,0.0795487657361
0.0679895520642,0.0609893108178
0.0467709082677,0.0634488000674
0.055920167335,0.157331633444
0.0682366021076,0.225853461955
0.0536409255235,0.335983825039
0.0538211780553,0.192289958812
0.0425393134828,0.0925116985357
0.0415603204832,0.173005460782
0.0510232807543,0.150862439925
0.072659366777,0.113382526137
0.0848503256724,0.0940625752148
0.0649559528436,0.228409668405
0.0723839147691,0.0484971177734
0.0474747686416,0.0700468458533
0.0472698785658,0.287812908678
0.076188994946,0.109859637786
0.0313445517341,0.30823195051
0.0454936627156,0.251954545215
0.0511352348359,0.158847840005
0.0479590290814,0.112238353718
0.089848269322,0.0402882774962
0.0560749704341,0.0825251437691
0.0530579343746,0.1264444763
0.086418435933,0.0703616797672
0.049189456212,0.114763250904
0.0737227337282,0.0896356459078
0.0905225691265,0.185040710074
0.0702205751345,0.14370205831
0.0510723425654,0.281651273406
0.0494197342933,0.217198105027
0.0589674081539,0.0868164172079
0.0637462112276,0.121972989288
0.0632373186978,0.0844506183324
0.0478339121627,0.0812632064472
0.0796291911066,0.0478290808047
0.0541567842537,0.165411061738
0.0824194352595,0.063039235743
0.0622521680655,0.0862053699096
0.0650717683523,0.123650418782
0.0503509521959,0.166220167829
0.0720605736997,0.205108169667
0.0833692725123,0.067525357097
0.0656786745706,0.0711609699581
0.0642846329887,0.0754858045801
0.137012987013,0.0664587250454
0.0982316750719,0.06593977187
0.0588473635416,0.17018166168
0.0797518763449,0.060063217006
0.0519919002253,0.14039673261
0.0719211469534,0.0600886637503
0.0543909260484,0.141798879212
0.0407834101382,0.259118831645
0.0591222769494,0.0554747715395
0.058391423179,0.22720282762
0.0566914730706,0.0490437767207
0.0557387498564,0.0852449136299

5-Fold RMSE:,0.0690394952573,0.08016495283,0.0765456735508,0.059942816605,0.059942816605
Average 5-Fold RMSE:,0.0681228874032

5-Fold rsquared:,0.227469667749,0.325782342409,0.05013295801,0.274016690831,0.274016690831
Average 5-Fold rsquared:,0.243018712479
