topology_avg_katz_centrality,transError.numSamples.std
0.164520601552,4574.73377354
0.14490959715,3504.51641908
0.152012508979,4516.12281977
0.19348855763,1068.57195671
0.274857823643,257.853455343
0.315688199115,141.850142792
0.281188123319,182.929460449
0.13687879313,3510.04999446
0.149691632732,3935.77212331
0.200394557396,4927.43898941
0.225986597665,363.803157271
0.255507311148,147.306005198
0.240292386743,2626.374729
0.253883083042,108.084781537
0.245140367357,1084.0791156
0.240554468057,183.153742003
0.253300745845,273.731419461
0.240402348022,642.991734482
0.197358951489,702.453163625
0.576851478367,1510.28589149
0.137896297217,14727.7449601
0.222462593068,2308.33572565
0.140375197828,15286.2712796
0.184491558962,8108.00744572
0.174610713191,2866.01159506
0.168023315729,24073.9681947
0.221789361423,2219.38941949
0.217728809152,8919.29941979
0.21855578736,1725.55951023
0.177783461173,3228.66340734
0.162643088488,308.046732032
0.15905127118,701.623265043
0.162992923157,12253.024445
0.194677300978,5103.87888822
0.122273092524,12190.977691
0.139000400145,10206.0904135
0.137439770012,1947.88730019
0.134265682771,4006.02426321
0.273817367365,189.939449112
0.153884368942,2139.14201672
0.173718373605,4015.83521781
0.23768993686,968.189122803
0.151720774244,5532.41528027
0.205673933659,1328.17120275
0.213572373485,4913.35122961
0.144439568071,897.213776087
0.17493981875,12782.2996962
0.153835261752,15884.6134701
0.187006207323,3217.32940007
0.225837365907,4350.15152402
0.244355748718,1687.4634671
0.190490479867,2072.14962693
0.21338935033,383.599850828
0.215991842591,2014.30380687
0.20472205591,1917.94562562
0.158341350822,2174.75877982
0.197191271315,1102.42140417
0.194739301254,2925.49410622
0.22139266437,3355.85891523
0.180352476788,490.102011085
0.209504868068,432.474999277
0.24633950968,473.088895362
0.226325241251,606.727838005
0.240534450369,1136.24840985
0.165392862514,4289.42952164
0.215217790547,803.781894131
0.17256521982,1881.63948857
0.240540169197,316.936671506
0.156033511459,2151.72678867
0.159984669078,5518.65907301
0.245946325233,350.849437575
0.197164987585,9293.22106863
0.222971811884,257.78020405
0.175433513511,1433.91482635

5-Fold RMSE:,7279.92778368,2745.02955056,3084.90921908,6838.38595693,6838.38595693
Average 5-Fold RMSE:,4742.79559902

5-Fold rsquared:,0.171831216591,0.0292599584666,0.319755716888,-0.199461510097,-0.199461510097
Average 5-Fold rsquared:,0.0910260957793
