roomPerimeter,rotError.mean.mean
1588.62791478,0.00781177272727
1351.09384402,0.00518106666667
458.622966465,0.00745268421053
125.926169628,0.00380332142857
302.601396954,0.00530514285714
501.062394277,0.0108654444444
1837.42341771,0.0100377916667
688.861804167,0.00976259090909
662.793955846,0.00654347826087
345.129490021,0.00574740540541
456.293929549,0.0063216
315.925559425,0.00609472
243.357074819,0.00695146666667
409.663330218,0.00530697297297
203.831915727,0.00419643333333
608.510749633,0.00586774285714
811.724322072,0.0080334137931
789.405453777,0.00957582352941
498.214112703,0.0113755652174
349.485622363,0.00664728571429
623.087494685,0.00940933333333
506.227250231,0.00862580769231
469.640967896,0.0175163076923
470.629120514,0.00585915384615
343.406315926,0.0080592
349.626511091,0.00719391304348
503.178792264,0.0116620333333
824.277775057,0.0185035384615
481.48305766,0.00794823076923
859.077312371,0.00808536363636
1023.76949412,0.00828783870968
1483.77049838,0.0090522
1208.95867135,0.0130484230769
1173.67459887,0.0102915384615
537.162909983,0.0115043333333
845.005713505,0.0112823142857
279.62861162,0.00535094117647
780.915742482,0.0116517083333
909.128599512,0.00985292
623.395444333,0.00736969230769
787.160481335,0.0124235769231
551.960813093,0.0109033461538
655.096395443,0.00870517391304
1086.4876646,0.00633515384615
1357.05101607,0.0100060769231
1113.23214774,0.00994803703704
636.640571297,0.0114515483871
883.283838598,0.00746737837838
638.505269241,0.0102650357143
1290.51989442,0.0086655
474.810346145,0.0111931666667
502.295701425,0.00878128
687.882051882,0.00787177777778
1293.11063322,0.0083908
602.61103687,0.013150075
864.15979835,0.0103568888889
846.661098224,0.00629451282051
687.49670878,0.0100887741935
454.8062828,0.0114415
406.40042891,0.0108286829268
865.683726415,0.00529
580.17017166,0.0074369
551.429068269,0.0108653666667
620.854347876,0.00650085185185
651.012500721,0.0107349090909
367.406975129,0.00662575862069
1075.51367261,0.0108217916667
533.159488544,0.00683478125
377.956377889,0.00717885185185
747.238694267,0.0361834583333
900.193877884,0.00648584615385
496.333168951,0.00584372
1394.54206022,0.0060295
837.315270419,0.0163589615385

5-Fold RMSE:,0.00303038304633,0.00774202783339,0.00296147510168,0.00290779098496,0.00290779098496
Average 5-Fold RMSE:,0.0039051794195

5-Fold rsquared:,-0.197621372751,0.0397146603626,-0.0184342276811,-0.0505848035907,-0.0505848035907
Average 5-Fold rsquared:,-0.0397783571293
