topology_avg_shortest_path_length,rotError.numSamples.std
3.14957983193,4574.73377354
2.80139372822,3504.51641908
3.64146341463,4516.12281977
2.80666666667,1068.57195671
2.88461538462,257.853455343
2.95555555556,141.850142792
1.81818181818,182.929460449
2.93524514339,3510.04999446
2.42674253201,3935.77212331
3.34420289855,4927.43898941
3.15789473684,363.803157271
2.8380952381,147.306005198
3.17647058824,2626.374729
2.67619047619,108.084781537
2.5,1084.0791156
1.84166666667,183.153742003
2.20952380952,273.731419461
1.875,642.991734482
3.83333333333,702.453163625
1.33333333333,1510.28589149
3.01572617946,14727.7449601
2.42105263158,2308.33572565
2.41971207087,15286.2712796
2.11076923077,8108.00744572
2.2315270936,2866.01159506
3.30837789661,24073.9681947
2.26900584795,2219.38941949
2.45789473684,8919.29941979
1.89473684211,1725.55951023
3.25057471264,3228.66340734
5.47297297297,308.046732032
3.16516516517,701.623265043
3.05378151261,12253.024445
2.96666666667,5103.87888822
3.94674859191,12190.977691
3.25314009662,10206.0904135
3.77570921986,1947.88730019
3.70512820513,4006.02426321
2.37179487179,189.939449112
3.66794871795,2139.14201672
3.36088709677,4015.83521781
2.48529411765,968.189122803
3.90592334495,5532.41528027
3.395256917,1328.17120275
2.68095238095,4913.35122961
4.77874396135,897.213776087
2.55632183908,12782.2996962
3.71025641026,15884.6134701
3.34757834758,3217.32940007
2.76608187135,4350.15152402
2.28333333333,1687.4634671
3.73504273504,2072.14962693
2.64761904762,383.599850828
2.37368421053,2014.30380687
3.44268774704,1917.94562562
3.92745376956,2174.75877982
2.52536231884,1102.42140417
3.04,2925.49410622
3.25789473684,3355.85891523
4.3908045977,490.102011085
2.94805194805,432.474999277
2.59166666667,473.088895362
2.97076023392,606.727838005
3.07352941176,1136.24840985
3.49411764706,4289.42952164
3.01904761905,803.781894131
2.4183908046,1881.63948857
1.85833333333,316.936671506
2.83333333333,2151.72678867
2.65378151261,5518.65907301
2.55,350.849437575
2.57608695652,9293.22106863
2.34502923977,257.78020405
2.6091954023,1433.91482635

5-Fold RMSE:,7279.51692143,2515.82973529,3296.7680673,4657.16805229,4657.16805229
Average 5-Fold RMSE:,4386.19628838

5-Fold rsquared:,-4.27920221389,-0.414089617085,-0.345342496187,-0.24069827009,-0.24069827009
Average 5-Fold rsquared:,-1.06642804913
