topology_avg_shortest_path_length,rotError.mean.mean
3.64146341463,0.00781177272727
2.80666666667,0.00518106666667
2.88461538462,0.00745268421053
2.95555555556,0.00380332142857
1.81818181818,0.00530514285714
2.93524514339,0.0108654444444
2.42674253201,0.0100377916667
3.34420289855,0.00976259090909
3.15789473684,0.00654347826087
2.8380952381,0.00574740540541
3.17647058824,0.0063216
2.67619047619,0.00609472
2.5,0.00695146666667
1.84166666667,0.00530697297297
2.20952380952,0.00419643333333
1.875,0.00586774285714
3.83333333333,0.0080334137931
1.33333333333,0.00957582352941
3.01572617946,0.0113755652174
2.42105263158,0.00664728571429
2.41971207087,0.00940933333333
2.11076923077,0.00862580769231
2.2315270936,0.0175163076923
3.30837789661,0.00585915384615
2.26900584795,0.0080592
2.45789473684,0.00719391304348
1.89473684211,0.0116620333333
3.25057471264,0.0185035384615
5.47297297297,0.00794823076923
3.16516516517,0.00808536363636
3.05378151261,0.00828783870968
2.96666666667,0.0090522
3.94674859191,0.0130484230769
3.25314009662,0.0102915384615
3.77570921986,0.0115043333333
3.70512820513,0.0112823142857
2.37179487179,0.00535094117647
3.66794871795,0.0116517083333
3.36088709677,0.00985292
2.48529411765,0.00736969230769
3.90592334495,0.0124235769231
3.395256917,0.0109033461538
2.68095238095,0.00870517391304
4.77874396135,0.00633515384615
2.55632183908,0.0100060769231
3.71025641026,0.00994803703704
3.34757834758,0.0114515483871
2.76608187135,0.00746737837838
2.28333333333,0.0102650357143
3.73504273504,0.0086655
2.64761904762,0.0111931666667
2.37368421053,0.00878128
3.44268774704,0.00787177777778
3.92745376956,0.0083908
2.52536231884,0.013150075
3.04,0.0103568888889
3.25789473684,0.00629451282051
4.3908045977,0.0100887741935
2.94805194805,0.0114415
2.59166666667,0.0108286829268
2.97076023392,0.00529
3.07352941176,0.0074369
3.49411764706,0.0108653666667
3.01904761905,0.00650085185185
2.4183908046,0.0107349090909
1.85833333333,0.00662575862069
2.83333333333,0.0108217916667
2.65378151261,0.00683478125
2.55,0.00717885185185
2.80139372822,0.0361834583333
2.57608695652,0.00648584615385
2.34502923977,0.00584372
2.6091954023,0.0060295
3.14957983193,0.0163589615385

5-Fold RMSE:,0.00275313632725,0.00234791221779,0.00395702413418,0.00730781379475,0.00730781379475
Average 5-Fold RMSE:,0.00400434253553

5-Fold rsquared:,-0.0214387002456,-0.110249725009,-0.205908016876,-0.0678151486251,-0.0678151486251
Average 5-Fold rsquared:,-0.0743534054118
