voronoi_numTerminalPoints,transError.std.std
117,0.226872799473
82,0.0888341978949
82,0.0536568207547
31,0.0531756045959
48,0.0388866547706
92,0.156091446153
189,0.204774691356
136,0.189473879231
76,0.0429963941514
59,0.0500640527086
57,0.160692173355
39,0.0364422115207
42,0.115579807708
60,0.0365550743802
41,0.0491585794691
36,0.0890782760547
108,0.0933187599678
135,0.138087316178
107,0.258353516079
63,0.0779121061829
168,0.259494989064
85,0.214149069586
95,0.160472378798
154,0.578481679757
70,0.14193715639
65,0.390698889866
43,0.145785206544
119,0.196101691352
110,0.0540020208264
137,0.0639730578518
138,0.0642383791162
97,0.258741211908
224,0.131888311652
204,0.126072926139
145,0.124697260981
171,0.192108034661
40,0.0517409309399
108,0.150426578073
112,0.141387393986
54,0.0819226964463
153,0.284322556163
117,0.268748777682
66,0.0698040570684
105,0.0777311359681
137,0.221015525555
131,0.170190402896
93,0.10685390071
85,0.237490765274
87,0.110170635227
125,0.172007018126
72,0.0621497895481
88,0.110615023941
74,0.126944549297
125,0.109794391941
87,0.0809823194632
112,0.12386252947
68,0.0966363792344
95,0.064450068138
87,0.0692099506632
85,0.075847820682
9,0.113532147819
62,0.129796983767
125,0.192206970562
72,0.105334107197
118,0.145524364411
64,0.0596299714663
108,0.130217601143
126,0.0974594238893
111,0.0743403423368
220,0.167837658831
94,0.168709916846
118,0.0562958637779
106,0.116143743091
309,0.206076064429

5-Fold RMSE:,0.141783235424,0.0668706105512,0.0448923894474,0.0690707227755,0.0690707227755
Average 5-Fold RMSE:,0.0755321244756

5-Fold rsquared:,-0.33932045507,0.294360946265,-0.00781225955889,0.259509725865,0.259509725865
Average 5-Fold rsquared:,0.0465324452591
