topology_numBifurcationPoints,rotError.std.std
12,0.00570813314798
8,0.00238204213415
3,0.00443794731193
2,0.00221181244909
1,0.00124875791759
14,0.00692890029398
4,0.00526352379524
5,0.00916339305052
5,0.00109827381314
3,0.001820392131
5,0.0115835540733
2,0.00242628577179
9,0.00881799279479
3,0.00156947572306
4,0.00133593491358
1,0.0033034977955
9,0.00427790386373
0,0.010818340273
17,0.0073614093577
4,0.0020421627691
6,0.00882900353326
5,0.0056069691509
9,0.00964521917124
12,0.0102373131119
1,0.00694223066048
2,0.00719629727175
1,0.00729724936466
8,0.00941862106525
12,0.00165015637774
10,0.00327309840264
7,0.00344135860057
3,0.00431503222254
28,0.00820748297377
10,0.038374045582
15,0.00800000789555
14,0.00653686665775
3,0.0030003076901
10,0.00533292057631
9,0.00671912860422
3,0.00480609803905
15,0.00899802736477
5,0.00879950207474
5,0.0034406223505
22,0.00161564506
3,0.00646094092521
13,0.00512121237682
5,0.00772600753931
3,0.00810460207062
3,0.00596216482169
12,0.00468461053166
3,0.00290363576381
4,0.00727200671353
7,0.00593740494427
9,0.0031691424541
4,0.00360718859354
5,0.00760278416857
3,0.00281495176744
7,0.00295568783369
4,0.00587875703598
3,0.00492444947089
3,0.00274550707465
5,0.00668196581096
7,0.00693703706243
4,0.00651974844058
6,0.0105001485137
1,0.00348419817228
3,0.00672065780498
11,0.00427584456832
3,0.0034764729288
8,0.218382402573
5,0.0062202472559
4,0.00201918335413
5,0.00303309851547
20,0.00630615992045

5-Fold RMSE:,0.00460861513182,0.0548191208118,0.00560351132308,0.00864608298017,0.00864608298017
Average 5-Fold RMSE:,0.0158436535914

5-Fold rsquared:,-0.0678533457002,0.00838408367015,-4.27992759199,-2.41793504397,-2.41793504397
Average 5-Fold rsquared:,-1.80409257659
