avgRoomWallRatio,rotError.numSamples.std
8.06038669655,4574.73377354
12.4734197923,3504.51641908
94.0246719844,4516.12281977
23.0972333146,1068.57195671
17.2159380658,257.853455343
34.9170323836,141.850142792
40.1386183344,182.929460449
4.15960998171,3510.04999446
98.27407095,3935.77212331
32.0558355679,4927.43898941
31.8854450811,363.803157271
17.0310324486,147.306005198
17.8785937327,2626.374729
5.31889858635,108.084781537
11.6322524159,1084.0791156
16.7112958669,183.153742003
4.19025169616,273.731419461
4.5851672727,642.991734482
28.2697955746,702.453163625
78.8607355756,1510.28589149
5.76789137536,14727.7449601
9.94474092631,2308.33572565
9.40155834329,15286.2712796
15.5899748781,8108.00744572
13.2876366474,2866.01159506
5.36699093475,24073.9681947
16.4235744233,2219.38941949
5.20590608492,8919.29941979
3.89560341955,1725.55951023
28.751717776,3228.66340734
17.0235577735,308.046732032
16.5688430617,701.623265043
41.7117577663,12253.024445
42.725871617,5103.87888822
74.578108553,12190.977691
31.9225066807,10206.0904135
5.20722404423,1947.88730019
7.42424488488,4006.02426321
7.63297537834,189.939449112
21.7010848341,2139.14201672
137.556377369,4015.83521781
20.6470540419,968.189122803
12.5838625992,5532.41528027
32.8475094999,1328.17120275
23.8346876138,4913.35122961
21.4298943763,897.213776087
257.915562133,12782.2996962
18.4384227154,15884.6134701
21.165267296,3217.32940007
52.1209436869,4350.15152402
21.1597420627,1687.4634671
372.057769319,2072.14962693
21.6349184755,383.599850828
17.1761447181,2014.30380687
52.6797805223,1917.94562562
452.745366651,2174.75877982
11.0567143812,1102.42140417
20.8609685098,2925.49410622
29.1017856064,3355.85891523
33.8993698932,490.102011085
17.0002297373,432.474999277
13.0307686716,473.088895362
112.186234652,606.727838005
34.5694850639,1136.24840985
6.82477892286,4289.42952164
11.3478965674,803.781894131
25.0965042526,1881.63948857
31.3640832419,316.936671506
5.11370107056,2151.72678867
5.66003775883,5518.65907301
31.0817993552,350.849437575
20.3487250038,9293.22106863
91.8956005443,257.78020405
91.5984252567,1433.91482635

5-Fold RMSE:,4872.14480013,4784.18353349,5769.48104749,3864.85501696,3864.85501696
Average 5-Fold RMSE:,4456.88235425

5-Fold rsquared:,-0.118103940775,-0.226889910527,-0.103583288063,-0.127573064847,-0.127573064847
Average 5-Fold rsquared:,-0.12399592851
