voronoi_traversal_rotation,rotError.std.std
383.11155342,0.00570813314798
299.224987726,0.00238204213415
226.003670468,0.00443794731193
65.6201458925,0.00221181244909
119.373687987,0.00124875791759
298.40968252,0.00692890029398
531.828197886,0.00526352379524
350.187357947,0.00916339305052
194.123703961,0.00109827381314
136.791651053,0.001820392131
142.527427016,0.0115835540733
93.9540558552,0.00242628577179
112.722731226,0.00881799279479
163.845822573,0.00156947572306
166.514228449,0.00133593491358
99.3153433059,0.0033034977955
294.725708146,0.00427790386373
393.873036041,0.010818340273
463.90477356,0.0073614093577
189.655868233,0.0020421627691
493.115537244,0.00882900353326
273.909081263,0.0056069691509
291.098597003,0.00964521917124
247.053934824,0.0102373131119
212.580961906,0.00694223066048
255.161221325,0.00719629727175
154.379223345,0.00729724936466
321.530644611,0.00165015637774
403.087870914,0.00327309840264
425.021775933,0.00344135860057
293.121426335,0.00431503222254
593.843879979,0.00820748297377
538.679861002,0.038374045582
459.10700613,0.00800000789555
473.944548731,0.00653686665775
144.966338136,0.0030003076901
350.705972495,0.00533292057631
311.405157352,0.00671912860422
166.199693564,0.00480609803905
453.205692733,0.00899802736477
263.788701522,0.00879950207474
198.358452797,0.0034406223505
282.992600807,0.00161564506
384.492596967,0.00646094092521
404.099217031,0.00512121237682
235.588634426,0.00772600753931
229.212945534,0.00810460207062
184.662743682,0.00596216482169
355.377918967,0.00468461053166
171.74666032,0.00290363576381
224.47594753,0.00727200671353
167.825668593,0.00593740494427
307.207591809,0.0031691424541
239.186424328,0.00360718859354
276.832203798,0.00760278416857
226.516662992,0.00281495176744
261.569459102,0.00295568783369
231.322208878,0.00587875703598
190.252000937,0.00492444947089
19.7037549351,0.00274550707465
181.358181073,0.00668196581096
329.711625302,0.00693703706243
186.04419983,0.00651974844058
342.429442135,0.0105001485137
154.630366434,0.00348419817228
356.5562977,0.00672065780498
344.249370086,0.00427584456832
271.307075133,0.0034764729288
273.749097052,0.0062202472559
327.830406313,0.00201918335413
288.227981357,0.00303309851547

5-Fold RMSE:,0.00313164203572,0.00852976574696,0.00316254718071,0.00337466926746,0.00337466926746
Average 5-Fold RMSE:,0.00410204052042

5-Fold rsquared:,-0.286600788273,-0.293521894214,0.388535034305,-0.172640443777,-0.172640443777
Average 5-Fold rsquared:,-0.0522826603343
