topology_diameter,rotError.numSamples.mean
7,8502.88888889
6,4291.20833333
7,5073.26086957
6,2208.2
5,533.736842105
6,281.035714286
2,375.75
6,3820.06451613
5,4729.04166667
7,3357.30434783
6,1109.95652174
6,244.540540541
6,830.8
6,180.0
5,450.733333333
2,457.388888889
3,628.1
2,954.971428571
8,914.034482759
2,2059.76470588
6,8900.875
4,2142.7826087
5,9951.88235294
4,5881.21428571
4,3028.03571429
5,12817.0714286
4,2496.67647059
4,8121.34782609
2,2459.1
8,3998.88235294
13,716.857142857
6,843.47826087
6,3702.36363636
7,6648.12
8,4365.44444444
8,4280.06666667
8,1701.35294118
8,3879.09375
4,189.695652174
8,1054.375
7,2765.85185185
4,1206.76923077
8,6532.5
6,3173.27272727
5,2456.83333333
12,2281.8
4,6061.31034483
7,8307.2
8,2598.6
4,3927.24390244
3,1492.89285714
8,3379.41666667
4,655.766666667
5,964.583333333
6,1611.27777778
8,3842.36
5,1384.0
7,3280.36666667
6,2484.47619048
10,1119.77419355
6,581.0
4,510.341463415
6,1274.18518519
5,1420.46666667
7,4234.0625
5,754.666666667
4,3208.20833333
2,407.793103448
6,2487.5
4,2474.48571429
5,609.074074074
5,2976.25
4,461.08
5,1971.81578947

5-Fold RMSE:,2067.38602502,3060.8613677,2097.66275769,2843.48058348,2843.48058348
Average 5-Fold RMSE:,2571.47486409

5-Fold rsquared:,-0.117375445525,-0.065146723568,-0.0811925328064,0.0148097537903,0.0148097537903
Average 5-Fold rsquared:,-0.0703883847754
