topology_std_closeness_centrality,transError.numSamples.std
0.0598415157943,4574.73377354
0.0722237137313,3504.51641908
0.0565394436277,4516.12281977
0.0749235383167,1068.57195671
0.0701663659578,257.853455343
0.0657681785738,141.850142792
0.13065442293,182.929460449
0.0624073878507,3510.04999446
0.0845695226798,3935.77212331
0.0670242256695,4927.43898941
0.0669124340965,363.803157271
0.0765484380217,147.306005198
0.0646504304243,2626.374729
0.0905223954098,108.084781537
0.0900481570651,1084.0791156
0.115187813932,183.153742003
0.0899535979605,273.731419461
0.116857256136,642.991734482
0.0594648531491,702.453163625
0.157134840264,1510.28589149
0.0588838687402,14727.7449601
0.0853782568654,2308.33572565
0.0673104249139,15286.2712796
0.0945135561085,8108.00744572
0.0868958235123,2866.01159506
0.0639585892462,24073.9681947
0.101375536596,2219.38941949
0.0845009452369,8919.29941979
0.108458483731,1725.55951023
0.0665544387217,3228.66340734
0.0374305305731,308.046732032
0.0536432565224,701.623265043
0.068198206604,12253.024445
0.0745594040261,5103.87888822
0.0408820498034,12190.977691
0.0633289348438,10206.0904135
0.0526834428243,1947.88730019
0.0472063942178,4006.02426321
0.095743320775,189.939449112
0.0508982298677,2139.14201672
0.0555799197274,4015.83521781
0.0834404573371,968.189122803
0.0403607033676,5532.41528027
0.0537675872802,1328.17120275
0.0747329471831,4913.35122961
0.0468274295182,897.213776087
0.072643836412,12782.2996962
0.0530174475837,15884.6134701
0.0701235418297,3217.32940007
0.0757339072829,4350.15152402
0.0930764684502,1687.4634671
0.0570677408173,2072.14962693
0.0819311450325,383.599850828
0.0947118368488,2014.30380687
0.0492781042019,1917.94562562
0.045934575683,2174.75877982
0.0790551718017,1102.42140417
0.0751243143765,2925.49410622
0.0714943970357,3355.85891523
0.0470059839967,490.102011085
0.0714476214654,432.474999277
0.0858487345512,473.088895362
0.0699051405756,606.727838005
0.0729452660304,1136.24840985
0.0600455297118,4289.42952164
0.0706887474473,803.781894131
0.0775007939585,1881.63948857
0.115934965711,316.936671506
0.0606107891583,2151.72678867
0.0707140975918,5518.65907301
0.0834460534495,350.849437575
0.0806190931631,9293.22106863
0.087565063355,257.78020405
0.0735940216048,1433.91482635

5-Fold RMSE:,6375.00213616,4511.88250757,3625.43672322,4166.56608354,4166.56608354
Average 5-Fold RMSE:,4253.03424494

5-Fold rsquared:,-0.196656855734,-1.93380938296,-0.316361176235,0.0207329414335,0.0207329414335
Average 5-Fold rsquared:,-0.486851485591
