voronoi_traversal_distance,transError.mean.std
1349.09985599,0.128810550931
919.718726924,0.0626106276575
419.663612797,0.0363222141704
211.703543676,0.0240230927776
265.490773911,0.0231752964896
1173.06783952,0.12471567563
1490.99507567,0.118403445404
841.175649661,0.105974371826
512.459790786,0.0468835943002
183.023661923,0.0525575836354
288.952643527,0.0652650350355
191.014634059,0.0380406378831
162.313862645,0.048698079138
384.763332574,0.0465531383268
546.868433022,0.015699391456
384.284799509,0.0795487657361
1093.28515564,0.0609893108178
823.369821087,0.0634488000674
1603.67256076,0.121656676099
726.421235223,0.108765944747
1455.54715772,0.116482183881
1342.9430314,0.123971354033
608.712541442,0.117014135854
1371.34741951,0.093854286797
550.763056801,0.0949115380575
1001.59400158,0.113382526137
498.802202458,0.0940625752148
951.22385554,0.143229486163
633.149187702,0.0476951664389
808.608614515,0.0815122877936
897.190026783,0.0482871281887
1578.35836762,0.109859637786
918.534020399,0.0815752280843
1008.03211816,0.0639775660122
870.931728251,0.0966037993107
1371.33686714,0.130209711384
274.928270325,0.0344430098623
658.752298095,0.0825251437691
750.178214424,0.0787229033116
510.678711028,0.0703616797672
1567.27616653,0.136893046155
1367.57529848,0.131748844655
492.886623007,0.0638479804609
740.557101864,0.0832238780337
1069.35769226,0.112655965246
1006.22432177,0.0882750414235
520.067365763,0.0630703094014
717.088483789,0.0904968358626
354.772213719,0.0844506183324
1193.67522752,0.0812632064472
439.245777626,0.0478290808047
431.491340742,0.0665534059179
425.603880936,0.063039235743
1025.57459113,0.0862053699096
589.758911653,0.0951669768786
656.952316561,0.0936298052555
754.01694709,0.083845172989
699.590611899,0.067525357097
484.299613589,0.0711609699581
339.901939934,0.0754858045801
205.223499199,0.0666286445176
609.45010448,0.06593977187
1187.28583886,0.119219125795
639.103357547,0.060063217006
874.938568522,0.0967598598958
285.340344762,0.0600886637503
870.904226907,0.103345628507
731.103227949,0.0960266591481
618.684245989,0.0554747715395
2080.31115619,0.117509395197
786.534337607,0.0976733690521
653.648966259,0.0490437767207
1138.67499527,0.0852449136299
2035.82864252,0.18024925237

5-Fold RMSE:,0.0198800788685,0.019118994117,0.0255653873872,0.0149100039986,0.0149100039986
Average 5-Fold RMSE:,0.0208817749852

5-Fold rsquared:,0.349569060754,0.426846402079,0.491945306717,0.641507147261,0.641507147261
Average 5-Fold rsquared:,0.526150700219
