voronoi_radius,rotError.numSamples.mean
14,4854.31818182
18,2208.2
15,533.736842105
6,281.035714286
11,375.75
19,2982.96296296
20,4729.04166667
19,2494.54545455
20,1109.95652174
16,244.540540541
14,830.8
10,180.0
10,450.733333333
13,456.135135135
9,628.1
10,954.971428571
20,914.034482759
19,2059.76470588
21,8438.2173913
16,1611.28571429
40,6025.96969697
22,4245.57692308
11,2369.74358974
16,11003.8461538
9,2018.0
14,8121.34782609
12,2459.1
23,2825.15384615
22,898.038461538
19,845.545454545
17,908.161290323
18,6648.12
23,2004.73076923
28,1650.23076923
21,1444.0
22,4167.25714286
8,160.676470588
17,1054.375
18,1731.48
12,1206.76923077
20,6763.84615385
26,4317.96153846
17,1501.82608696
22,1183.46153846
20,4219.69230769
20,3851.77777778
14,2071.29032258
20,3696.67567568
14,1492.89285714
16,3379.41666667
16,655.766666667
12,619.76
17,1611.27777778
23,3842.36
18,1278.8
16,2906.77777778
14,1697.56410256
23,1119.77419355
15,581.0
14,510.341463415
4,1266.60714286
16,1420.46666667
19,3455.96666667
14,754.666666667
19,2924.18181818
13,407.793103448
18,2267.29166667
15,1168.5
18,609.074074074
29,4291.20833333
16,1209.07692308
20,461.08
15,1971.81578947
27,8361.53846154

5-Fold RMSE:,3293.27200218,1082.00335734,1646.76309626,1662.58194492,1662.58194492
Average 5-Fold RMSE:,1921.40712256

5-Fold rsquared:,-0.10720558536,0.204261958671,0.352625988529,0.362515531167,0.362515531167
Average 5-Fold rsquared:,0.159991070707
