avgRoomWallRatio,rotError.mean.mean
8.06038669655,0.0160152777778
12.4734197923,0.0361834583333
94.0246719844,0.0081227826087
23.0972333146,0.00518106666667
17.2159380658,0.00745268421053
34.9170323836,0.00380332142857
40.1386183344,0.00530514285714
4.15960998171,0.0113298387097
98.27407095,0.0100377916667
32.0558355679,0.00991973913043
31.8854450811,0.00654347826087
17.0310324486,0.00574740540541
17.8785937327,0.0063216
5.31889858635,0.00609472
11.6322524159,0.00695146666667
16.7112958669,0.00522869444444
4.19025169616,0.00419643333333
4.5851672727,0.00586774285714
28.2697955746,0.0080334137931
78.8607355756,0.00957582352941
5.76789137536,0.0118060833333
9.94474092631,0.00680830434783
9.40155834329,0.0128010294118
15.5899748781,0.0102644642857
13.2876366474,0.0246713571429
5.36699093475,0.007418
16.4235744233,0.00877191176471
5.20590608492,0.00719391304348
3.89560341955,0.0116620333333
28.751717776,0.0221704705882
17.0235577735,0.00773861904762
16.5688430617,0.0076692173913
41.7117577663,0.0124832272727
42.725871617,0.0090522
74.578108553,0.0147335925926
31.9225066807,0.0128114
5.20722404423,0.0131788235294
7.42424488488,0.0105658125
7.63297537834,0.00586613043478
21.7010848341,0.0116517083333
137.556377369,0.010821
20.6470540419,0.00736969230769
12.5838625992,0.012007125
32.8475094999,0.00962695454545
23.8346876138,0.0105803333333
21.4298943763,0.0089074
257.915562133,0.0112168965517
18.4384227154,0.0137696
21.165267296,0.0132841714286
52.1209436869,0.0079603902439
21.1597420627,0.0102650357143
372.057769319,0.0086655
21.6349184755,0.0111931666667
17.1761447181,0.00875566666667
52.6797805223,0.00787177777778
452.745366651,0.0083908
11.0567143812,0.0134036428571
20.8609685098,0.0111335666667
29.1017856064,0.00665304761905
33.8993698932,0.0100887741935
17.0002297373,0.0114415
13.0307686716,0.0108286829268
112.186234652,0.00525488888889
34.5694850639,0.0074369
6.82477892286,0.01176809375
11.3478965674,0.00650085185185
25.0965042526,0.0117556666667
31.3640832419,0.00662575862069
5.11370107056,0.0114198846154
5.66003775883,0.00779974285714
31.0817993552,0.00717885185185
20.3487250038,0.00862746428571
91.8956005443,0.00584372
91.5984252567,0.0060295

5-Fold RMSE:,0.00514752519477,0.00410011849239,0.0071424867958,0.00310133982878,0.00310133982878
Average 5-Fold RMSE:,0.00440496647582

5-Fold rsquared:,-0.0296831763455,-0.115057196024,-0.0427707214331,0.0059952290066,0.0059952290066
Average 5-Fold rsquared:,-0.0977734882919
