voronoi_density,rotError.numSamples.mean
0.00318368544601,8502.88888889
0.00440412804838,4291.20833333
0.00808823529412,5073.26086957
0.00955699352912,2208.2
0.0116912972085,533.736842105
0.0344632768362,281.035714286
0.0215053763441,375.75
0.00925140387024,3820.06451613
0.00519180106663,4729.04166667
0.00722834459059,3357.30434783
0.0129516019087,1109.95652174
0.0176991150442,244.540540541
0.0190476190476,830.8
0.0253086419753,180.0
0.0246913580247,450.733333333
0.0173913043478,457.388888889
0.0238095238095,628.1
0.0285714285714,954.971428571
0.0090424298632,914.034482759
0.00713667820069,2059.76470588
0.00740202062177,8900.875
0.0131513647643,2142.7826087
0.00484541088869,9951.88235294
0.00866896039938,5881.21428571
0.010447761194,3028.03571429
0.00595238095238,12817.0714286
0.0151079136691,2496.67647059
0.0131567778627,8121.34782609
0.0238095238095,2459.1
0.00812851405622,3998.88235294
0.00904977375566,716.857142857
0.00721522115147,843.47826087
0.00719244167105,3702.36363636
0.0105263157895,6648.12
0.00400898812284,4365.44444444
0.00480478499412,4280.06666667
0.00671096345515,1701.35294118
0.0058288988948,3879.09375
0.0263157894737,189.695652174
0.00938926320365,1054.375
0.00892348585533,2765.85185185
0.0190476190476,1206.76923077
0.00642957604983,6532.5
0.00740228294708,3173.27272727
0.015503875969,2456.83333333
0.00952380952381,2281.8
0.00724618860868,6061.31034483
0.00697674418605,8307.2
0.0108634470337,2598.6
0.0097678694553,3927.24390244
0.0116271344097,1492.89285714
0.00765140004341,3379.41666667
0.013986013986,655.766666667
0.0114093556717,964.583333333
0.0137931034483,1611.27777778
0.00769163788349,3842.36
0.0118343195266,1384.0
0.00844979919679,3280.36666667
0.0132155083194,2484.47619048
0.0105814273905,1119.77419355
0.0116959064327,581.0
0.0121212121212,510.341463415
0.103896103896,1274.18518519
0.0161290322581,1420.46666667
0.00793650793651,4234.0625
0.013698630137,754.666666667
0.00836649321498,3208.20833333
0.015873015873,407.793103448
0.0088868459358,2487.5
0.00749872902898,2474.48571429
0.0093023255814,609.074074074
0.0104161102505,2976.25
0.00822963331674,461.08
0.00921283274224,1971.81578947

5-Fold RMSE:,5027.40578816,2099.70437101,2113.85503162,3535.48222979,3535.48222979
Average 5-Fold RMSE:,2972.78042802

5-Fold rsquared:,-0.0286086221766,-0.0967202541895,-0.0434402725494,0.113996601631,0.113996601631
Average 5-Fold rsquared:,-0.565903042964
