avgRoomWallRatio,rotError.std.std
8.06038669655,0.00568699616952
12.4734197923,0.218382402573
94.0246719844,0.00580885788305
23.0972333146,0.00238204213415
17.2159380658,0.00443794731193
34.9170323836,0.00221181244909
40.1386183344,0.00124875791759
4.15960998171,0.00670812510145
98.27407095,0.00526352379524
32.0558355679,0.00913242766636
31.8854450811,0.00109827381314
17.0310324486,0.001820392131
17.8785937327,0.0115835540733
5.31889858635,0.00242628577179
11.6322524159,0.00881799279479
16.7112958669,0.00155158807808
4.19025169616,0.00133593491358
4.5851672727,0.0033034977955
28.2697955746,0.00427790386373
78.8607355756,0.010818340273
5.76789137536,0.00939720652641
9.94474092631,0.00241009476396
9.40155834329,0.0296182606338
15.5899748781,0.0239013077489
13.2876366474,0.0967031592699
5.36699093475,0.0220331329296
16.4235744233,0.00693154786835
5.20590608492,0.00719629727175
3.89560341955,0.00729724936466
28.751717776,0.00928123177602
17.0235577735,0.00146296711826
16.5688430617,0.00345204746565
41.7117577663,0.0235237306324
42.725871617,0.00431503222254
74.578108553,0.0109164373752
31.9225066807,0.0384564311949
5.20722404423,0.0101640285899
7.42424488488,0.0060490277033
7.63297537834,0.00237160519209
21.7010848341,0.00533292057631
137.556377369,0.00798833628714
20.6470540419,0.00480609803905
12.5838625992,0.00931314053418
32.8475094999,0.0035854966117
23.8346876138,0.0090749635613
21.4298943763,0.00197943739482
257.915562133,0.00752716726779
18.4384227154,0.0245157322818
21.165267296,0.0131644023743
52.1209436869,0.00816947942897
21.1597420627,0.00596216482169
372.057769319,0.00468461053166
21.6349184755,0.00290363576381
17.1761447181,0.00664701953873
52.6797805223,0.00593740494427
452.745366651,0.0031691424541
11.0567143812,0.00408505580913
20.8609685098,0.0074098626606
29.1017856064,0.00358325893136
33.8993698932,0.00295568783369
17.0002297373,0.00587875703598
13.0307686716,0.00492444947089
112.186234652,0.00279567043769
34.5694850639,0.00668196581096
6.82477892286,0.00806206474837
11.3478965674,0.00651974844058
25.0965042526,0.0102982308024
31.3640832419,0.00348419817228
5.11370107056,0.00773341395644
5.66003775883,0.00606781674054
31.0817993552,0.0034764729288
20.3487250038,0.0129904271285
91.8956005443,0.00201918335413
91.5984252567,0.00303309851547

5-Fold RMSE:,0.00897690101329,0.0095937775651,0.00933603559051,0.0593005209967,0.0593005209967
Average 5-Fold RMSE:,0.0192238458916

5-Fold rsquared:,-4.5564529804,-1.76777639372,-1.34615450246,-0.0506428609488,-0.0506428609488
Average 5-Fold rsquared:,-1.55575564912
