voronoi_density,transError.numSamples.std
0.00808823529412,4496.65449768
0.00955699352912,1068.57195671
0.0116912972085,257.853455343
0.0344632768362,141.850142792
0.0215053763441,182.929460449
0.00925140387024,2244.05747734
0.00519180106663,3935.77212331
0.00722834459059,2874.5710625
0.0129516019087,363.803157271
0.0176991150442,147.306005198
0.0190476190476,2626.374729
0.0253086419753,108.084781537
0.0246913580247,1084.0791156
0.0173913043478,180.818284498
0.0238095238095,273.731419461
0.0285714285714,642.991734482
0.0090424298632,702.453163625
0.00713667820069,1510.28589149
0.00740202062177,14872.7918784
0.0131513647643,720.79837633
0.00484541088869,9225.92445392
0.00866896039938,3023.39259484
0.010447761194,2651.41884337
0.00595238095238,24043.8800652
0.0151079136691,1616.41335473
0.0131567778627,8919.29941979
0.0238095238095,1725.55951023
0.00812851405622,1863.36560045
0.00904977375566,624.17813537
0.00721522115147,620.469279434
0.00719244167105,857.003410118
0.0105263157895,5103.87888822
0.00400898812284,1966.19530209
0.00480478499412,1057.23261059
0.00671096345515,1483.83345876
0.0058288988948,3961.17166175
0.0263157894737,165.786311893
0.00938926320365,2139.14201672
0.00892348585533,1428.99660238
0.0190476190476,968.189122803
0.00642957604983,5433.37490878
0.00740228294708,3842.62601996
0.015503875969,1817.05743137
0.00952380952381,691.528513091
0.00724618860868,8506.08116752
0.00697674418605,3722.68290681
0.0108634470337,1936.04140841
0.0097678694553,4393.41939757
0.0116271344097,1687.4634671
0.00765140004341,2072.14962693
0.013986013986,383.599850828
0.0114093556717,786.667567909
0.0137931034483,1917.94562562
0.00769163788349,2174.75877982
0.0118343195266,748.389444073
0.00844979919679,2608.69783514
0.0132155083194,1354.24201138
0.0105814273905,490.102011085
0.0116959064327,432.474999277
0.0121212121212,473.088895362
0.103896103896,597.094712473
0.0161290322581,1136.24840985
0.00793650793651,3100.93252085
0.013698630137,803.781894131
0.00836649321498,1700.53022844
0.015873015873,316.936671506
0.0088868459358,2065.32399555
0.00749872902898,1024.40711512
0.0093023255814,350.849437575
0.00440412804838,3504.51641908
0.0104161102505,2631.23148885
0.00822963331674,257.78020405
0.00921283274224,1433.91482635
0.00318368544601,4268.01882728

5-Fold RMSE:,2330.7919477,3503.65637376,2566.29386242,6624.28972242,6624.28972242
Average 5-Fold RMSE:,3300.09418691

5-Fold rsquared:,0.0867185069753,-1.39620955459,-0.131951271437,0.234778839267,0.234778839267
Average 5-Fold rsquared:,-2.27497504924
