numRooms,transError.mean.mean
43,0.507673043478
27,0.347489733333
23,0.178033842105
10,0.111519571429
12,0.135674892857
48,0.567853258065
47,0.483538
25,0.364766782609
22,0.266804521739
15,0.136014027027
17,0.1602634
15,0.11330008
16,0.120517266667
16,0.168592444444
16,0.1753349
16,0.250973828571
25,0.267063583333
34,0.275744352941
50,0.572332
22,0.401876478261
45,0.554770068966
26,0.601016714286
29,0.428635214286
34,0.545607833333
20,0.392818764706
22,0.511895521739
20,0.3828526
31,0.480142294118
39,0.200632047619
38,0.214672086957
35,0.310588818182
25,0.63580396
65,0.357241074074
46,0.322165133333
49,0.302912058824
52,0.44758759375
13,0.0879599565217
40,0.20017225
33,0.388622
17,0.297397730769
42,0.663971375
23,0.551063954545
21,0.31300125
46,0.4318884
35,0.465919793103
40,0.471419
27,0.317696542857
19,0.366169390244
17,0.301987178571
27,0.400407571429
21,0.2053401
20,0.194334555556
23,0.273704222222
39,0.42013416
24,0.323464547619
25,0.429869033333
20,0.367336428571
30,0.283932129032
23,0.224394466667
16,0.191225219512
19,0.285115615385
17,0.3031
35,0.475740875
21,0.236201074074
30,0.54542925
16,0.154262137931
37,0.423788730769
36,0.381827136364
16,0.189719777778
44,0.489469857143
24,0.29107
19,0.17891308
31,0.367190842105
79,0.55025675
