voronoi_numTerminalPoints,rotError.mean.std
117,0.00314194787486
82,0.000529720236435
82,0.00274200687267
31,0.000868010041646
48,0.000988470995105
92,0.00396421114784
189,0.00305267434636
136,0.00323725683059
76,0.00162224709611
59,0.00122251686463
57,0.00481593435646
39,0.00139556645188
42,0.00295561424787
60,0.000970277349218
41,0.00087903722649
36,0.00234359606884
108,0.00196300121238
135,0.00475371639426
107,0.00347532974758
63,0.00196074084985
168,0.00290945535533
85,0.0031687609811
95,0.00691864528074
154,0.00176297243951
70,0.00288446249643
65,0.00193137045088
43,0.00350567334933
119,0.0101955133655
110,0.00189316660463
137,0.00409306542765
138,0.0021898122043
97,0.00268365863701
224,0.00416085194839
204,0.00454871802084
145,0.00641385431356
171,0.00357712486121
40,0.00149199568169
108,0.00373159733983
112,0.00227211409784
54,0.00284573492967
153,0.00416717640221
117,0.00429998156474
66,0.00262143524665
105,0.0015716058183
137,0.00295077555546
131,0.00347412036809
93,0.00393376291854
85,0.00199420279203
87,0.00317220657184
125,0.00212895982035
72,0.00283126115696
88,0.00452986510634
74,0.00169591170353
125,0.00167382816322
87,0.00380101619562
112,0.00567736820441
68,0.00200585427637
95,0.00290650421563
87,0.00604227499064
85,0.00633767378436
9,0.00090005519672
62,0.00296056940863
125,0.00379557550738
72,0.0018376947053
118,0.00342684333818
64,0.0018378217927
108,0.0038392713065
126,0.00265952798602
111,0.00290145318257
220,0.127889138475
94,0.00273066403156
118,0.00140772643706
106,0.00163527502515
309,0.00529794026363

5-Fold RMSE:,0.00775126204811,0.00494598999108,0.0318540826573,0.00494208279505,0.00494208279505
Average 5-Fold RMSE:,0.0106073337109

5-Fold rsquared:,-2.11594092431,-16.2014940272,-0.047066419733,-49.4602736865,-49.4602736865
Average 5-Fold rsquared:,-15.1582002391
