voronoi_radius,rotError.mean.std
27,0.0051668558009
29,0.127889138475
14,0.00340156190411
18,0.000529720236435
15,0.00274200687267
6,0.000868010041646
11,0.000988470995105
19,0.00429956664055
20,0.00305267434636
19,0.00325076749757
20,0.00162224709611
16,0.00122251686463
14,0.00481593435646
10,0.00139556645188
10,0.00295561424787
13,0.00086073843683
9,0.00087903722649
10,0.00234359606884
20,0.00196300121238
19,0.00475371639426
21,0.00397965134483
16,0.00194485015484
40,0.011229552043
22,0.00728678377751
11,0.0240067761271
16,0.00587163384417
9,0.00364257671701
14,0.00193137045088
12,0.00350567334933
23,0.011540864302
22,0.00169851493892
19,0.00387832424544
17,0.018982936371
18,0.00268365863701
23,0.00951347370549
28,0.0113683540574
21,0.0102189055546
22,0.00279617073466
8,0.00119649202124
17,0.00373159733983
18,0.00435481252733
12,0.00284573492967
20,0.00405173873492
26,0.00258198449888
17,0.00935193660277
22,0.00120964368307
20,0.00544625576124
20,0.0122018643728
14,0.00687929093309
20,0.00319700990545
14,0.00317220657184
16,0.00212895982035
16,0.00283126115696
12,0.00479663990611
17,0.00169591170353
23,0.00167382816322
18,0.00464877681209
16,0.00631663664558
14,0.00267358431567
23,0.00290650421563
15,0.00604227499064
14,0.00633767378436
4,0.000897543822652
16,0.00296056940863
19,0.00514108200771
14,0.0018376947053
19,0.00559589829449
13,0.0018378217927
18,0.00470429841354
15,0.00584007398849
18,0.00290145318257
16,0.0102512932546
20,0.00140772643706
15,0.00163527502515

5-Fold RMSE:,0.00344393273146,0.00727988639567,0.0075337385746,0.00882303964975,0.00882303964975
Average 5-Fold RMSE:,0.0119029517141

5-Fold rsquared:,-0.739813309092,-5.44239123607,-0.0142114776044,-0.121016339152,-0.121016339152
Average 5-Fold rsquared:,-1.77857446572
