topology_edges,transError.mean.std
48,0.128810550931
32,0.0626106276575
13,0.0363222141704
10,0.0240230927776
12,0.0231752964896
63,0.12471567563
43,0.118403445404
26,0.105974371826
23,0.0468835943002
14,0.0525575836354
16,0.0652650350355
15,0.0380406378831
22,0.048698079138
19,0.0465531383268
18,0.015699391456
15,0.0795487657361
30,0.0609893108178
2,0.0634488000674
67,0.121656676099
21,0.108765944747
49,0.116482183881
32,0.123971354033
41,0.117014135854
37,0.093854286797
18,0.0949115380575
19,0.113382526137
18,0.0940625752148
36,0.143229486163
42,0.0476951664389
46,0.0815122877936
39,0.0482871281887
24,0.109859637786
90,0.0815752280843
57,0.0639775660122
57,0.0966037993107
63,0.130209711384
13,0.0344430098623
47,0.0825251437691
35,0.0787229033116
16,0.0703616797672
51,0.136893046155
23,0.131748844655
23,0.0638479804609
59,0.0832238780337
30,0.112655965246
50,0.0882750414235
29,0.0630703094014
19,0.0904968358626
18,0.0844506183324
32,0.0812632064472
20,0.0478290808047
21,0.0665534059179
26,0.063039235743
43,0.0862053699096
25,0.0951669768786
26,0.0936298052555
20,0.083845172989
31,0.067525357097
22,0.0711609699581
15,0.0754858045801
18,0.0666286445176
16,0.06593977187
37,0.119219125795
20,0.060063217006
35,0.0967598598958
17,0.0600886637503
39,0.103345628507
46,0.0960266591481
17,0.0554747715395
48,0.117509395197
27,0.0976733690521
21,0.0490437767207
35,0.0852449136299
54,0.18024925237

5-Fold RMSE:,0.0345494066789,0.0277674098623,0.021535895016,0.0244629528706,0.0244629528706
Average 5-Fold RMSE:,0.02757492059

5-Fold rsquared:,0.302061421572,-0.0899456493276,0.104526621198,0.391166722897,0.391166722897
Average 5-Fold rsquared:,0.225235876157
