totalTime,rotError.std.std
7739.04545455,0.00570813314798
5871.41333333,0.00238204213415
2281.97894737,0.00443794731193
1354.59642857,0.00221181244909
1659.58214286,0.00124875791759
5185.57037037,0.00692890029398
5477.86666667,0.00526352379524
3478.16818182,0.00916339305052
2830.96086957,0.00109827381314
1745.23513514,0.001820392131
2208.06285714,0.0115835540733
1662.192,0.00242628577179
1609.00666667,0.00881799279479
2120.34594595,0.00156947572306
2048.65333333,0.00133593491358
3052.23428571,0.0033034977955
3764.16896552,0.00427790386373
3581.27058824,0.010818340273
7070.53478261,0.0073614093577
4370.66666667,0.0020421627691
9172.43333333,0.00882900353326
9147.29230769,0.0056069691509
2876.39487179,0.00964521917124
10577.6692308,0.0102373131119
5200.37,0.00694223066048
6047.27826087,0.00719629727175
3020.41666667,0.00729724936466
3045.04117647,0.00863636157411
2454.26153846,0.00165015637774
2699.92727273,0.00327309840264
3264.42903226,0.00344135860057
5479.196,0.00431503222254
4427.51923077,0.00820748297377
3802.08461538,0.038374045582
3494.89333333,0.00669740301112
6018.93823529,0.00610628132268
1558.62647059,0.0030003076901
3136.37916667,0.00533292057631
3815.912,0.00671912860422
2507.84230769,0.00480609803905
8208.764,0.00913502721493
5026.896,0.00896889140048
2862.13043478,0.0034406223505
3938.79487179,0.00161564506
5791.23846154,0.00646094092521
5879.612,0.00468935864033
2866.03870968,0.00772600753931
5106.66388889,0.00820422301276
2649.53928571,0.00596216482169
7307.11666667,0.00468461053166
2228.52666667,0.00290363576381
2098.088,0.00727200671353
3423.01111111,0.00593740494427
6119.592,0.0031691424541
2410.93333333,0.00364406834295
4412.42962963,0.00760278416857
3693.98717949,0.00281495176744
3426.39032258,0.00295568783369
2034.859375,0.00587875703598
1896.65609756,0.00492444947089
4133.45185185,0.00279567043769
2596.04,0.00668196581096
5131.46666667,0.00693703706243
2637.14444444,0.00651974844058
5495.39090909,0.0105001485137
1954.06206897,0.00348419817228
4150.80833333,0.00672065780498
3693.959375,0.00427584456832
2386.22592593,0.0034764729288
7180.75,0.218382402573
2941.61538462,0.0062202472559
2600.284,0.00201918335413
5058.65263158,0.00303309851547
7318.78076923,0.00630615992045

5-Fold RMSE:,0.0101609373874,0.0545411401343,0.00530671277055,0.0102394578475,0.0102394578475
Average 5-Fold RMSE:,0.0176481995798

5-Fold rsquared:,-0.0611991191683,-4.45443054252,-12.054594478,-9.61590256923,-9.61590256923
Average 5-Fold rsquared:,-6.67020985946
