roomPerimeter,transError.mean.mean
1588.62791478,0.494097045455
1351.09384402,0.347489733333
458.622966465,0.178033842105
125.926169628,0.111519571429
302.601396954,0.135674892857
501.062394277,0.500454518519
1837.42341771,0.483538
688.861804167,0.314663090909
662.793955846,0.266804521739
345.129490021,0.136014027027
456.293929549,0.1602634
315.925559425,0.11330008
243.357074819,0.120517266667
409.663330218,0.168670918919
203.831915727,0.1753349
608.510749633,0.250973828571
811.724322072,0.255138206897
789.405453777,0.275744352941
498.214112703,0.550894956522
349.485622363,0.348672047619
623.087494685,0.556707151515
506.227250231,0.560622653846
469.640967896,0.375646230769
470.629120514,0.493396230769
343.406315926,0.349249866667
349.626511091,0.511895521739
503.178792264,0.3828526
824.277775057,0.376691423077
481.48305766,0.2061935
859.077312371,0.234490727273
1023.76949412,0.250467741935
1483.77049838,0.63580396
1208.95867135,0.298866
1173.67459887,0.263492076923
537.162909983,0.279235933333
845.005713505,0.469986628571
279.62861162,0.0827919117647
780.915742482,0.224303125
909.128599512,0.36068872
623.395444333,0.297397730769
787.160481335,0.687380423077
551.960813093,0.594765692308
655.096395443,0.276685391304
1086.4876646,0.26799774359
1357.05101607,0.394348115385
1113.23214774,0.407328592593
636.640571297,0.301939870968
883.283838598,0.337777675676
638.505269241,0.301987178571
1290.51989442,0.381142583333
474.810346145,0.2053401
502.295701425,0.16422708
687.882051882,0.273704222222
1293.11063322,0.42013416
602.61103687,0.315128875
864.15979835,0.391206259259
846.661098224,0.319272923077
687.49670878,0.283932129032
454.8062828,0.19405875
406.40042891,0.191225219512
865.683726415,0.287816464286
580.17017166,0.3031
551.429068269,0.4451378
620.854347876,0.236201074074
651.012500721,0.513622636364
367.406975129,0.154262137931
1075.51367261,0.395215916667
533.159488544,0.2822633125
377.956377889,0.189719777778
747.238694267,0.513207166667
900.193877884,0.240103076923
496.333168951,0.17891308
1394.54206022,0.367190842105
837.315270419,0.626637846154

5-Fold RMSE:,0.132643510192,0.120022889027,0.0953482763105,0.15593332817,0.15593332817
Average 5-Fold RMSE:,0.127399265276

5-Fold rsquared:,-0.0513792213507,0.0731049073498,0.00988153257363,0.0399306655734,0.0399306655734
Average 5-Fold rsquared:,0.0702027523965
