voronoi_traversal_distance,rotError.mean.mean
1349.09985599,0.00781177272727
919.718726924,0.00518106666667
419.663612797,0.00745268421053
211.703543676,0.00380332142857
265.490773911,0.00530514285714
1173.06783952,0.0108654444444
1490.99507567,0.0100377916667
841.175649661,0.00976259090909
512.459790786,0.00654347826087
183.023661923,0.00574740540541
288.952643527,0.0063216
191.014634059,0.00609472
162.313862645,0.00695146666667
384.763332574,0.00530697297297
546.868433022,0.00419643333333
384.284799509,0.00586774285714
1093.28515564,0.0080334137931
823.369821087,0.00957582352941
1603.67256076,0.0113755652174
726.421235223,0.00664728571429
1455.54715772,0.00940933333333
1342.9430314,0.00862580769231
608.712541442,0.0175163076923
1371.34741951,0.00585915384615
550.763056801,0.0080592
1001.59400158,0.00719391304348
498.802202458,0.0116620333333
951.22385554,0.0185035384615
633.149187702,0.00794823076923
808.608614515,0.00808536363636
897.190026783,0.00828783870968
1578.35836762,0.0090522
918.534020399,0.0130484230769
1008.03211816,0.0102915384615
870.931728251,0.0115043333333
1371.33686714,0.0112823142857
274.928270325,0.00535094117647
658.752298095,0.0116517083333
750.178214424,0.00985292
510.678711028,0.00736969230769
1567.27616653,0.0124235769231
1367.57529848,0.0109033461538
492.886623007,0.00870517391304
740.557101864,0.00633515384615
1069.35769226,0.0100060769231
1006.22432177,0.00994803703704
520.067365763,0.0114515483871
717.088483789,0.00746737837838
354.772213719,0.0102650357143
1193.67522752,0.0086655
439.245777626,0.0111931666667
431.491340742,0.00878128
425.603880936,0.00787177777778
1025.57459113,0.0083908
589.758911653,0.013150075
656.952316561,0.0103568888889
754.01694709,0.00629451282051
699.590611899,0.0100887741935
484.299613589,0.0114415
339.901939934,0.0108286829268
205.223499199,0.00529
609.45010448,0.0074369
1187.28583886,0.0108653666667
639.103357547,0.00650085185185
874.938568522,0.0107349090909
285.340344762,0.00662575862069
870.904226907,0.0108217916667
731.103227949,0.00683478125
618.684245989,0.00717885185185
2080.31115619,0.0361834583333
786.534337607,0.00648584615385
653.648966259,0.00584372
1138.67499527,0.0060295
2035.82864252,0.0163589615385

5-Fold RMSE:,0.00676232887347,0.00257154191069,0.00169214113093,0.0029989825224,0.0029989825224
Average 5-Fold RMSE:,0.00357083255815

5-Fold rsquared:,0.148569924951,-0.366757210016,0.00478242700838,0.249812896296,0.249812896296
Average 5-Fold rsquared:,-0.232504856959
