topology_std_betweenness_centrality,rotError.mean.mean
0.131812264312,0.00781177272727
0.148705407271,0.00518106666667
0.261716653955,0.00745268421053
0.230672661023,0.00380332142857
0.27136021012,0.00530514285714
0.116264239203,0.0108654444444
0.155450271976,0.0100377916667
0.20325722398,0.00976259090909
0.21845761841,0.00654347826087
0.242817084083,0.00574740540541
0.237876959592,0.0063216
0.236624366278,0.00609472
0.20130667256,0.00695146666667
0.230386364579,0.00530697297297
0.239940440847,0.00419643333333
0.242061459138,0.00586774285714
0.196231027763,0.0080334137931
0.471404520791,0.00957582352941
0.119075163898,0.0113755652174
0.196185373283,0.00664728571429
0.148639864971,0.00940933333333
0.183840968349,0.00862580769231
0.170326124423,0.0175163076923
0.16600218961,0.00585915384615
0.216662018134,0.0080592
0.216313212501,0.00719391304348
0.223296878269,0.0116620333333
0.157060934161,0.0185035384615
0.19446755538,0.00794823076923
0.127201781261,0.00808536363636
0.146143564105,0.00828783870968
0.19657591917,0.0090522
0.0895510295476,0.0130484230769
0.147003696536,0.0102915384615
0.141627662593,0.0115043333333
0.124061682032,0.0112823142857
0.253892063377,0.00535094117647
0.127870412379,0.0116517083333
0.124401224416,0.00985292
0.234536156628,0.00736969230769
0.119381307136,0.0124235769231
0.220853420272,0.0109033461538
0.212474501198,0.00870517391304
0.154702887129,0.00633515384615
0.16435750178,0.0100060769231
0.153122424652,0.00994803703704
0.190652239415,0.0114515483871
0.219441665803,0.00746737837838
0.190940653956,0.0102650357143
0.140028695806,0.0086655
0.208781106226,0.0111931666667
0.207455882777,0.00878128
0.217275124316,0.00787177777778
0.179934545673,0.0083908
0.187756497808,0.013150075
0.179116363595,0.0103568888889
0.206867780433,0.00629451282051
0.203037036446,0.0100887741935
0.19173543319,0.0114415
0.234266083914,0.0108286829268
0.224004288455,0.00529
0.223461677044,0.0074369
0.170907443183,0.0108653666667
0.21043619028,0.00650085185185
0.154019596736,0.0107349090909
0.237450764678,0.00662575862069
0.15294041887,0.0108217916667
0.124375787197,0.00683478125
0.231525430446,0.00717885185185
0.145977793591,0.0361834583333
0.158996914607,0.00648584615385
0.195480049413,0.00584372
0.177691147017,0.0060295
0.132183205558,0.0163589615385

5-Fold RMSE:,0.0072970881924,0.00260906039466,0.00401901902585,0.00274073417038,0.00274073417038
Average 5-Fold RMSE:,0.00398487918383

5-Fold rsquared:,0.177489426926,0.151816873866,-0.0559176967963,-0.108688107629,-0.108688107629
Average 5-Fold rsquared:,0.0309955834438
