voronoi_std_betweenness_centrality,transError.numSamples.mean
0.0746543812721,4854.31818182
0.062851196191,2208.2
0.120555286217,533.736842105
0.134588707592,281.035714286
0.157081183686,375.75
0.0702608079073,2982.96296296
0.0724914959019,4729.04166667
0.115339067677,2494.54545455
0.140816589884,1109.95652174
0.16805134529,244.540540541
0.169705907227,830.8
0.148425240047,180.0
0.160579833031,450.733333333
0.154942199063,456.135135135
0.119327588971,628.1
0.175548202855,954.971428571
0.127445753524,914.034482759
0.0828370625069,2059.76470588
0.0894050902149,8438.2173913
0.0939366873161,1611.28571429
0.0913729694687,6025.96969697
0.0739055320019,4245.57692308
0.076293463043,2369.74358974
0.0958990178296,11003.8461538
0.0830023467368,2018.0
0.138718645002,8121.34782609
0.117196701992,2459.1
0.108306665569,2825.15384615
0.141828214583,898.038461538
0.0756330969252,845.545454545
0.0762021693546,908.161290323
0.140770979315,6648.12
0.0511046648544,2004.73076923
0.0862567077224,1650.23076923
0.0952789524029,1444.0
0.0836735301728,4167.25714286
0.154109156244,160.676470588
0.0946700876743,1054.375
0.0848366529613,1731.48
0.151920860392,1206.76923077
0.0770398687958,6763.84615385
0.134288831834,4317.96153846
0.157379029906,1501.82608696
0.127519968793,1183.46153846
0.0867796134283,4219.69230769
0.0850149322524,3851.77777778
0.1103334443,2071.29032258
0.114004545879,3696.67567568
0.0990072824493,1492.89285714
0.0829289381716,3379.41666667
0.141626997478,655.766666667
0.0926301375778,619.76
0.147842301865,1611.27777778
0.116817550364,3842.36
0.103636622274,1278.8
0.0778880925589,2906.77777778
0.128144102526,1697.56410256
0.151022466631,1119.77419355
0.121528219661,581.0
0.115413024622,510.341463415
0.126020319963,1266.60714286
0.15578903341,1420.46666667
0.123818508682,3455.96666667
0.138059180639,754.666666667
0.082138035642,2924.18181818
0.125731603212,407.793103448
0.0855568473939,2267.29166667
0.0623751617214,1168.5
0.121268856559,609.074074074
0.078906434805,4291.20833333
0.0872310046751,1209.07692308
0.087537102921,461.08
0.113038517998,1971.81578947
0.064127687584,8361.53846154

5-Fold RMSE:,2958.83818904,1773.12284739,1887.82247365,1824.80237882,1824.80237882
Average 5-Fold RMSE:,2038.91444287

5-Fold rsquared:,0.127684556471,0.0374455536884,-0.0621531443017,0.10380057527,0.10380057527
Average 5-Fold rsquared:,-0.00806229653853
