topology_avg_betweenness_centrality,transError.std.mean
0.0677298311445,0.597974409091
0.0785507246377,0.3833542
0.171328671329,0.198447578947
0.244444444444,0.12269
0.0818181818182,0.153758035714
0.0430054476308,0.443964518519
0.0396317370002,0.531760416667
0.106554677207,0.402073772727
0.12693498452,0.30601326087
0.141391941392,0.133319189189
0.145098039216,0.194677542857
0.128937728938,0.11035772
0.107142857143,0.139761666667
0.060119047619,0.178360027027
0.0930402930403,0.2198439
0.0625,0.243437428571
0.123188405797,0.256086724138
0.333333333333,0.338521882353
0.0447939150992,0.583932391304
0.0835913312693,0.325802619048
0.0346271236799,0.59423269697
0.0462820512821,0.577431384615
0.0456121145776,0.38375874359
0.0721368092692,0.698436384615
0.0746474028208,0.3659623
0.0809941520468,0.690604043478
0.0526315789474,0.404276533333
0.0803776683087,0.441453846154
0.127799227799,0.237735884615
0.0618618618619,0.225124575758
0.0622358034123,0.256219483871
0.0855072463768,0.65674012
0.0483073539657,0.358577384615
0.0512077294686,0.362996384615
0.0603415047795,0.287370933333
0.0541025641026,0.50726
0.124708624709,0.0964399411765
0.0702091767881,0.236416833333
0.0786962365591,0.35981112
0.0990196078431,0.273577115385
0.0726480836237,0.702296269231
0.11405985319,0.558222807692
0.0884711779449,0.282527217391
0.0858805445762,0.292004974359
0.0555829228243,0.441571769231
0.071322537112,0.501131740741
0.0939031339031,0.346335935484
0.103887168903,0.466183297297
0.0916666666667,0.309707785714
0.109401709402,0.503770083333
0.0867167919799,0.218116833333
0.0763157894737,0.1932868
0.116318464145,0.310407555556
0.0813181602655,0.50208644
0.0693346508564,0.29558275
0.0886956521739,0.442420407407
0.125438596491,0.337067487179
0.121100164204,0.286365322581
0.0974025974026,0.19540578125
0.11369047619,0.171382926829
0.115927072583,0.327402357143
0.138235294118,0.287927933333
0.0755793226381,0.466749133333
0.10626566416,0.224714148148
0.0506568144499,0.483949818182
0.0613095238095,0.153626448276
0.052380952381,0.380862583333
0.0501145912911,0.2900733125
0.110714285714,0.203370592593
0.0450348432056,0.522405666667
0.0716403162055,0.237020576923
0.0791193670451,0.17280424
0.0574712643678,0.366907921053
0.0651387827858,0.789124346154

5-Fold RMSE:,0.158088631537,0.167046994082,0.164920235646,0.132150268678,0.132150268678
Average 5-Fold RMSE:,0.159946534247

5-Fold rsquared:,0.209299151033,-0.642111204706,-0.0103384816089,0.122027532144,0.122027532144
Average 5-Fold rsquared:,-0.0679035702756
