topology_edges,rotError.std.mean
48,0.0134886818182
32,0.00848306666667
13,0.00990715789474
10,0.00666489285714
12,0.00854714285714
63,0.0154531111111
43,0.0139629166667
26,0.0142382727273
23,0.00927660869565
14,0.00886394594595
16,0.0103236571429
15,0.00831244
22,0.0120980666667
19,0.00902981081081
18,0.0070672
15,0.00862697142857
30,0.0107663448276
2,0.0146358235294
67,0.0153069130435
21,0.00836128571429
49,0.0141560606061
32,0.0130143076923
41,0.0213154358974
37,0.0118386923077
18,0.0129007
19,0.0117434782609
18,0.0171069
36,0.0201348076923
42,0.00883107692308
46,0.00979857575758
39,0.0108434193548
24,0.01273672
90,0.0201676538462
57,0.0242387692308
57,0.0134642666667
63,0.0164263142857
13,0.008347
47,0.0136369583333
35,0.0145126
16,0.0110901538462
51,0.0162626538462
23,0.0139900769231
23,0.0113885652174
59,0.00808025641026
30,0.0127977692308
50,0.0142507037037
29,0.0175852258065
19,0.0131790810811
18,0.0140931785714
32,0.013008
20,0.0124418666667
21,0.01217428
26,0.0113095
43,0.01085984
25,0.013217275
26,0.0138498148148
20,0.00906033333333
31,0.0113865483871
22,0.01360234375
15,0.0114615121951
18,0.00809121428571
16,0.0116139666667
37,0.0140091666667
20,0.0103575555556
35,0.0173899090909
17,0.0105403103448
39,0.0152154583333
46,0.00999909375
17,0.00975977777778
48,0.0581752916667
27,0.00897219230769
21,0.00749868
35,0.00801097368421
54,0.0207175

5-Fold RMSE:,0.0121156948153,0.00294773807984,0.00351094519623,0.00303949515714,0.00303949515714
Average 5-Fold RMSE:,0.0047801950558

5-Fold rsquared:,-0.762196081656,-0.0992986184454,0.04756338949,0.442187447744,0.442187447744
Average 5-Fold rsquared:,-0.0221690400362
