topology_edges,rotError.mean.std
48,0.00314194787486
32,0.000529720236435
13,0.00274200687267
10,0.000868010041646
12,0.000988470995105
63,0.00396421114784
43,0.00305267434636
26,0.00323725683059
23,0.00162224709611
14,0.00122251686463
16,0.00481593435646
15,0.00139556645188
22,0.00295561424787
19,0.000970277349218
18,0.00087903722649
15,0.00234359606884
30,0.00196300121238
2,0.00475371639426
67,0.00347532974758
21,0.00196074084985
49,0.00290945535533
32,0.0031687609811
41,0.00691864528074
37,0.00176297243951
18,0.00288446249643
19,0.00193137045088
18,0.00350567334933
36,0.0101955133655
42,0.00189316660463
46,0.00409306542765
39,0.0021898122043
24,0.00268365863701
90,0.00416085194839
57,0.00454871802084
57,0.00641385431356
63,0.00357712486121
13,0.00149199568169
47,0.00373159733983
35,0.00227211409784
16,0.00284573492967
51,0.00416717640221
23,0.00429998156474
23,0.00262143524665
59,0.0015716058183
30,0.00295077555546
50,0.00347412036809
29,0.00393376291854
19,0.00199420279203
18,0.00317220657184
32,0.00212895982035
20,0.00283126115696
21,0.00452986510634
26,0.00169591170353
43,0.00167382816322
25,0.00380101619562
26,0.00567736820441
20,0.00200585427637
31,0.00290650421563
22,0.00604227499064
15,0.00633767378436
18,0.00090005519672
16,0.00296056940863
37,0.00379557550738
20,0.0018376947053
35,0.00342684333818
17,0.0018378217927
39,0.0038392713065
46,0.00265952798602
17,0.00290145318257
48,0.127889138475
27,0.00273066403156
21,0.00140772643706
35,0.00163527502515
54,0.00529794026363

5-Fold RMSE:,0.00423956199442,0.00380445662353,0.0321606252218,0.00370703666116,0.00370703666116
Average 5-Fold RMSE:,0.00943098466721

5-Fold rsquared:,-4.61917138725,-8.20874731597,-0.0525933823622,-1.32507598762,-1.32507598762
Average 5-Fold rsquared:,-3.96602242713
