totalLength,transError.mean.std
3674.54685049,0.145382176939
2587.25446388,0.0626106276575
409.860183458,0.0363222141704
252.832909534,0.0240230927776
326.784256607,0.0231752964896
1921.35516902,0.244942705536
2116.13492361,0.118403445404
863.659269329,0.25684750383
845.090021745,0.0468835943002
295.419139725,0.0525575836354
506.321896435,0.0652650350355
273.457946693,0.0380406378831
192.066214539,0.048698079138
468.518403292,0.0471928668924
580.535894357,0.015699391456
971.378772283,0.0795487657361
1560.66008532,0.0564341131084
1049.93660782,0.0634488000674
3024.90660293,0.157331633444
1742.8522031,0.225853461955
3575.26025392,0.120880204555
4286.82971454,0.192289958812
711.361982324,0.0925116985357
4268.08811365,0.182870156349
2215.28095863,0.150862439925
2674.03601278,0.113382526137
889.381270016,0.0940625752148
994.439580994,0.228409668405
566.001197687,0.0484971177734
713.219408102,0.0700468458533
1004.70151857,0.287812908678
2298.96506651,0.109859637786
1290.05514031,0.30823195051
1093.26611061,0.251954545215
1073.65959346,0.158847840005
2379.8461839,0.112238353718
207.214315708,0.0402882774962
771.205630617,0.0467955533351
1344.58232881,0.1264444763
876.168728003,0.0703616797672
3949.82841384,0.114763250904
1857.94252615,0.0896356459078
888.639718829,0.185040710074
1481.43084603,0.14370205831
2298.11261206,0.281651273406
2193.73950998,0.217198105027
786.593346386,0.0868164172079
2003.81513074,0.121972989288
637.726898906,0.0844506183324
3079.17730674,0.112880779061
500.537324732,0.0478290808047
616.55068905,0.0419657032537
1035.09066139,0.063039235743
2396.14078511,0.0862053699096
577.123513651,0.123650418782
1415.71363081,0.166220167829
1392.02208715,0.205108169667
972.933103525,0.067525357097
489.59582335,0.0423677614464
382.17641299,0.0754858045801
1749.99175816,0.0677220225742
916.588301973,0.06593977187
2114.07410152,0.17018166168
891.481124196,0.060063217006
2342.27101469,0.14039673261
330.137152444,0.0600886637503
1479.91948991,0.141798879212
1173.44602032,0.313625308616
602.963843177,0.0554747715395
3519.11086095,0.114621750347
1016.39541288,0.22720282762
693.217716208,0.0490437767207
2034.8306002,0.0852449136299
2694.36835452,0.138300771799
