wallRatio,transError.std.mean
95.5085578123,0.597974409091
58.5,0.3833542
259.861982598,0.198447578947
79.1568064035,0.12269
156.077544829,0.153758035714
254.000492126,0.443964518519
107.75,0.531760416667
85.0,0.402073772727
150.372087523,0.30601326087
116.372247551,0.133319189189
79.9034139168,0.194677542857
152.105884173,0.11035772
140.405128111,0.139761666667
70.2032762768,0.178360027027
111.803398875,0.2198439
52.3333333333,0.243437428571
159.476547589,0.256086724138
107.12901101,0.338521882353
75.0,0.583932391304
85.5,0.325802619048
82.2192191644,0.59423269697
85.6692606611,0.577431384615
146.017550315,0.38375874359
42.5,0.698436384615
40.7940417972,0.3659623
116.833333333,0.690604043478
54.6829244118,0.404276533333
195.799193881,0.441453846154
52.3630080819,0.237735884615
72.7590861363,0.225124575758
137.333434466,0.256219483871
195.0,0.65674012
57.795023193,0.358577384615
62.8,0.362996384615
64.1950153828,0.287370933333
47.3333333333,0.50726
134.713399482,0.0964399411765
75.894663844,0.236416833333
64.2505870093,0.35981112
64.8333333333,0.273577115385
113.5,0.702296269231
59.6003355695,0.558222807692
116.659635642,0.282527217391
75.5,0.292004974359
61.75,0.441571769231
119.221642331,0.501131740741
100.215345056,0.346335935484
113.84243497,0.466183297297
100.762716319,0.309707785714
108.5,0.503770083333
61.0,0.218116833333
69.3375245282,0.1932868
162.786363065,0.310407555556
60.9924333264,0.50208644
276.335142736,0.29558275
125.858650875,0.442420407407
136.792027631,0.337067487179
170.018165119,0.286365322581
186.752431278,0.19540578125
94.2,0.171382926829
121.115647214,0.327402357143
125.858650875,0.287927933333
69.0004528971,0.466749133333
60.5556574923,0.224714148148
54.7144722115,0.483949818182
76.8259771772,0.153626448276
56.5108006335,0.380862583333
185.4,0.2900733125
39.8571428571,0.203370592593
68.2,0.522405666667
88.2524787187,0.237020576923
103.815447111,0.17280424
359.666821131,0.366907921053
82.25,0.789124346154

5-Fold RMSE:,0.144737404166,0.18096827279,0.139381533713,0.154091439627,0.154091439627
Average 5-Fold RMSE:,0.164755087385

5-Fold rsquared:,-0.0816262536047,0.020341201354,-0.0231262949598,0.016007010436,0.016007010436
Average 5-Fold rsquared:,-0.0363306245735
