topology_avg_katz_centrality,transError.numSamples.mean
0.152012508979,4854.31818182
0.19348855763,2208.2
0.274857823643,533.736842105
0.315688199115,281.035714286
0.281188123319,375.75
0.13687879313,2982.96296296
0.149691632732,4729.04166667
0.200394557396,2494.54545455
0.225986597665,1109.95652174
0.255507311148,244.540540541
0.240292386743,830.8
0.253883083042,180.0
0.245140367357,450.733333333
0.240554468057,456.135135135
0.253300745845,628.1
0.240402348022,954.971428571
0.197358951489,914.034482759
0.576851478367,2059.76470588
0.137896297217,8438.2173913
0.222462593068,1611.28571429
0.140375197828,6025.96969697
0.184491558962,4245.57692308
0.174610713191,2369.74358974
0.168023315729,11003.8461538
0.221789361423,2018.0
0.217728809152,8121.34782609
0.21855578736,2459.1
0.177783461173,2825.15384615
0.162643088488,898.038461538
0.15905127118,845.545454545
0.162992923157,908.161290323
0.194677300978,6648.12
0.122273092524,2004.73076923
0.139000400145,1650.23076923
0.137439770012,1444.0
0.134265682771,4167.25714286
0.273817367365,160.676470588
0.153884368942,1054.375
0.173718373605,1731.48
0.23768993686,1206.76923077
0.151720774244,6763.84615385
0.205673933659,4317.96153846
0.213572373485,1501.82608696
0.144439568071,1183.46153846
0.17493981875,4219.69230769
0.153835261752,3851.77777778
0.187006207323,2071.29032258
0.225837365907,3696.67567568
0.244355748718,1492.89285714
0.190490479867,3379.41666667
0.21338935033,655.766666667
0.215991842591,619.76
0.20472205591,1611.27777778
0.158341350822,3842.36
0.197191271315,1278.8
0.194739301254,2906.77777778
0.22139266437,1697.56410256
0.180352476788,1119.77419355
0.209504868068,581.0
0.24633950968,510.341463415
0.226325241251,1266.60714286
0.240534450369,1420.46666667
0.165392862514,3455.96666667
0.215217790547,754.666666667
0.17256521982,2924.18181818
0.240540169197,407.793103448
0.156033511459,2267.29166667
0.159984669078,1168.5
0.245946325233,609.074074074
0.14490959715,4291.20833333
0.197164987585,1209.07692308
0.222971811884,461.08
0.175433513511,1971.81578947
0.164520601552,8361.53846154

5-Fold RMSE:,2951.48677055,1364.43576087,1032.63182597,4053.51362199,4053.51362199
Average 5-Fold RMSE:,2244.41597455

5-Fold rsquared:,0.123291150773,-0.232937119206,0.234807189469,-3.39073288901,-3.39073288901
Average 5-Fold rsquared:,-0.638275603301
