voronoi_numBifurcationPoints,transError.std.mean
131,0.597974409091
162,0.3833542
88,0.198447578947
28,0.12269
44,0.153758035714
93,0.443964518519
197,0.531760416667
146,0.402073772727
85,0.30601326087
52,0.133319189189
48,0.194677542857
39,0.11035772
38,0.139761666667
52,0.178360027027
41,0.2198439
32,0.243437428571
114,0.256086724138
145,0.338521882353
119,0.583932391304
68,0.325802619048
195,0.59423269697
107,0.577431384615
98,0.38375874359
126,0.698436384615
66,0.3659623
58,0.690604043478
41,0.404276533333
125,0.441453846154
107,0.237735884615
145,0.225124575758
141,0.256219483871
92,0.65674012
268,0.358577384615
214,0.362996384615
145,0.287370933333
178,0.50726
36,0.0964399411765
104,0.236416833333
117,0.35981112
49,0.273577115385
160,0.702296269231
159,0.558222807692
62,0.282527217391
102,0.292004974359
137,0.441571769231
155,0.501131740741
94,0.346335935484
135,0.466183297297
84,0.309707785714
144,0.503770083333
67,0.218116833333
90,0.1932868
71,0.310407555556
126,0.50208644
81,0.29558275
134,0.442420407407
82,0.337067487179
94,0.286365322581
80,0.19540578125
74,0.171382926829
13,0.327402357143
58,0.287927933333
123,0.466749133333
65,0.224714148148
121,0.483949818182
60,0.153626448276
111,0.380862583333
148,0.2900733125
101,0.203370592593
228,0.522405666667
93,0.237020576923
119,0.17280424
112,0.366907921053
324,0.789124346154

5-Fold RMSE:,0.143499113725,0.139780138319,0.133213722554,0.145491864107,0.145491864107
Average 5-Fold RMSE:,0.132374195132

5-Fold rsquared:,-0.0160778716858,0.250502654966,-0.0657505793195,0.618568190507,0.618568190507
Average 5-Fold rsquared:,0.226945031148
