totalLength,transError.numSamples.mean
2976.70696807,8502.88888889
3339.01465467,4291.20833333
3674.54685049,5073.26086957
2587.25446388,2208.2
409.860183458,533.736842105
252.832909534,281.035714286
326.784256607,375.75
1921.35516902,3820.06451613
2116.13492361,4729.04166667
863.659269329,3357.30434783
845.090021745,1109.95652174
295.419139725,244.540540541
506.321896435,830.8
273.457946693,180.0
192.066214539,450.733333333
468.518403292,457.388888889
580.535894357,628.1
971.378772283,954.971428571
1454.17383526,914.034482759
1049.93660782,2059.76470588
3024.90660293,8900.875
1742.8522031,2142.7826087
3579.87872165,9951.88235294
4286.82971454,5881.21428571
711.361982324,3028.03571429
3980.86440872,12817.0714286
2215.28095863,2496.67647059
2674.03601278,8121.34782609
889.381270016,2459.1
994.439580994,3998.88235294
566.001197687,716.857142857
713.219408102,843.47826087
1004.70151857,3702.36363636
2298.96506651,6648.12
1290.05514031,4365.44444444
1093.26611061,4280.06666667
1073.65959346,1701.35294118
2379.8461839,3879.09375
207.214315708,189.695652174
794.76649585,1054.375
1344.58232881,2765.85185185
876.168728003,1206.76923077
3949.82841384,6532.5
1857.94252615,3173.27272727
888.639718829,2456.83333333
1481.43084603,2281.8
2298.11261206,6061.31034483
2193.73950998,8307.2
786.593346386,2598.6
2003.81513074,3927.24390244
637.726898906,1492.89285714
3076.08125966,3379.41666667
500.537324732,655.766666667
494.390148456,964.583333333
1035.09066139,1611.27777778
2396.14078511,3842.36
577.123513651,1384.0
1415.71363081,3280.36666667
1392.02208715,2484.47619048
972.933103525,1119.77419355
445.408495107,581.0
382.17641299,510.341463415
1731.04519683,1274.18518519
916.588301973,1420.46666667
2114.07410152,4234.0625
891.481124196,754.666666667
2342.27101469,3208.20833333
330.137152444,407.793103448
1479.91948991,2487.5
1097.1417249,2474.48571429
602.963843177,609.074074074
1016.39541288,2976.25
693.217716208,461.08
2034.8306002,1971.81578947

5-Fold RMSE:,1495.69300306,2293.65778291,1843.31703544,972.499252851,972.499252851
Average 5-Fold RMSE:,1569.06012865

5-Fold rsquared:,0.590528994359,0.44150407777,0.715644312973,0.696831898654,0.696831898654
Average 5-Fold rsquared:,0.607426526259
