voronoi_std_closeness_centrality,rotError.numSamples.mean
0.0162028340043,4854.31818182
0.0180723422608,2208.2
0.0143460382158,533.736842105
0.0334856533368,281.035714286
0.020401416029,375.75
0.0121833939039,2982.96296296
0.0101726693386,4729.04166667
0.0111789888503,2494.54545455
0.0129962715494,1109.95652174
0.0155910611826,244.540540541
0.0161896572248,830.8
0.0246489555346,180.0
0.0225383671267,450.733333333
0.0175173726078,456.135135135
0.0234215696698,628.1
0.0217815574121,954.971428571
0.0120222750025,914.034482759
0.0129204340926,2059.76470588
0.0105738429496,8438.2173913
0.0121048389773,1611.28571429
0.00310742205166,6025.96969697
0.0141771999006,4245.57692308
0.0180681349112,2369.74358974
0.0122438733975,11003.8461538
0.0237913288013,2018.0
0.0143990925972,8121.34782609
0.0151231404527,2459.1
0.0115281691071,2825.15384615
0.0110998846989,898.038461538
0.012394935845,845.545454545
0.0110110099535,908.161290323
0.0130270578487,6648.12
0.00875221342896,2004.73076923
0.00976784712079,1650.23076923
0.010504734642,1444.0
0.00816683567122,4167.25714286
0.0250352459787,160.676470588
0.0110216500896,1054.375
0.0127664010297,1731.48
0.0192787369224,1206.76923077
0.00952672556587,6763.84615385
0.00914047087579,4317.96153846
0.0161798718058,1501.82608696
0.0140280958987,1183.46153846
0.0092818621892,4219.69230769
0.0136604729771,3851.77777778
0.0164595556523,2071.29032258
0.012871900677,3696.67567568
0.0131870913257,1492.89285714
0.0140545346879,3379.41666667
0.0164976378118,655.766666667
0.0185512356271,619.76
0.0147849607696,1611.27777778
0.0115088999888,3842.36
0.00955666431135,1278.8
0.0136819240382,2906.77777778
0.0155996031848,1697.56410256
0.0117033474378,1119.77419355
0.0168711330914,581.0
0.0174204601188,510.341463415
0.0519139466047,1266.60714286
0.0156601313596,1420.46666667
0.0116531019994,3455.96666667
0.0158865164552,754.666666667
0.0101031055214,2924.18181818
0.021634134839,407.793103448
0.0104434238961,2267.29166667
0.012002439584,1168.5
0.0148984712614,609.074074074
0.00699868820091,4291.20833333
0.0133203744133,1209.07692308
0.0115536467413,461.08
0.0143915244288,1971.81578947
0.00741871144613,8361.53846154

5-Fold RMSE:,2617.81106272,1285.09344079,2420.22628671,2678.46096155,2678.46096155
Average 5-Fold RMSE:,2117.1723715

5-Fold rsquared:,0.143301532287,0.1630119861,-1.7971407062,0.184989001696,0.184989001696
Average 5-Fold rsquared:,-0.252538684912
