voronoi_density,rotError.std.std
0.00808823529412,0.00570813314798
0.00955699352912,0.00238204213415
0.0116912972085,0.00443794731193
0.0344632768362,0.00221181244909
0.0215053763441,0.00124875791759
0.00925140387024,0.00692890029398
0.00519180106663,0.00526352379524
0.00722834459059,0.00916339305052
0.0129516019087,0.00109827381314
0.0176991150442,0.001820392131
0.0190476190476,0.0115835540733
0.0253086419753,0.00242628577179
0.0246913580247,0.00881799279479
0.0173913043478,0.00156947572306
0.0238095238095,0.00133593491358
0.0285714285714,0.0033034977955
0.0090424298632,0.00427790386373
0.00713667820069,0.010818340273
0.00740202062177,0.0073614093577
0.0131513647643,0.0020421627691
0.00484541088869,0.00882900353326
0.00866896039938,0.0056069691509
0.010447761194,0.00964521917124
0.00595238095238,0.0102373131119
0.0151079136691,0.00694223066048
0.0131567778627,0.00719629727175
0.0238095238095,0.00729724936466
0.00812851405622,0.00941862106525
0.00904977375566,0.00165015637774
0.00721522115147,0.00327309840264
0.00719244167105,0.00344135860057
0.0105263157895,0.00431503222254
0.00400898812284,0.00820748297377
0.00480478499412,0.038374045582
0.00671096345515,0.00800000789555
0.0058288988948,0.00653686665775
0.0263157894737,0.0030003076901
0.00938926320365,0.00533292057631
0.00892348585533,0.00671912860422
0.0190476190476,0.00480609803905
0.00642957604983,0.00899802736477
0.00740228294708,0.00879950207474
0.015503875969,0.0034406223505
0.00952380952381,0.00161564506
0.00724618860868,0.00646094092521
0.00697674418605,0.00512121237682
0.0108634470337,0.00772600753931
0.0097678694553,0.00810460207062
0.0116271344097,0.00596216482169
0.00765140004341,0.00468461053166
0.013986013986,0.00290363576381
0.0114093556717,0.00727200671353
0.0137931034483,0.00593740494427
0.00769163788349,0.0031691424541
0.0118343195266,0.00360718859354
0.00844979919679,0.00760278416857
0.0132155083194,0.00281495176744
0.0105814273905,0.00295568783369
0.0116959064327,0.00587875703598
0.0121212121212,0.00492444947089
0.103896103896,0.00274550707465
0.0161290322581,0.00668196581096
0.00793650793651,0.00693703706243
0.013698630137,0.00651974844058
0.00836649321498,0.0105001485137
0.015873015873,0.00348419817228
0.0088868459358,0.00672065780498
0.00749872902898,0.00427584456832
0.0093023255814,0.0034764729288
0.00440412804838,0.218382402573
0.0104161102505,0.0062202472559
0.00822963331674,0.00201918335413
0.00921283274224,0.00303309851547
0.00318368544601,0.00630615992045

5-Fold RMSE:,0.00508661083555,0.0191024983539,0.0052386869185,0.00511552658092,0.00511552658092
Average 5-Fold RMSE:,0.018235671089

5-Fold rsquared:,-1.00316973224,-0.0455611257482,0.0633064498797,-3.60112654014,-3.60112654014
Average 5-Fold rsquared:,-1.74315488397
