diameter,rotError.std.std
28,0.00544283981045
36,0.00238204213415
29,0.00443794731193
11,0.00221181244909
22,0.00124875791759
26,0.00670812510145
39,0.00526352379524
38,0.00913242766636
39,0.00109827381314
31,0.001820392131
27,0.0115835540733
19,0.00242628577179
19,0.00881799279479
26,0.00155158807808
16,0.00133593491358
20,0.0033034977955
39,0.00457690250041
38,0.010818340273
41,0.00939720652641
24,0.00241009476396
51,0.00935003691155
44,0.0239013077489
21,0.0967031592699
31,0.0235713891725
18,0.00693154786835
27,0.00719629727175
16,0.00729724936466
45,0.00928123177602
43,0.00146296711826
37,0.00345204746565
30,0.0235237306324
36,0.00431503222254
44,0.0109164373752
55,0.0384564311949
38,0.0101640285899
41,0.0060490277033
15,0.00237160519209
28,0.00513266581564
31,0.00798833628714
24,0.00480609803905
39,0.00931314053418
51,0.0035854966117
34,0.0090749635613
43,0.00197943739482
34,0.00752716726779
40,0.0245157322818
28,0.0131644023743
40,0.00816947942897
24,0.00596216482169
31,0.00530810796887
31,0.00290363576381
23,0.00562260485523
33,0.00593740494427
45,0.0031691424541
26,0.00408505580913
31,0.0074098626606
27,0.00358325893136
46,0.00295568783369
30,0.00524304033256
28,0.00492444947089
8,0.00284535658194
31,0.00668196581096
38,0.00806206474837
28,0.00651974844058
31,0.0102982308024
25,0.00348419817228
32,0.00773341395644
27,0.00707002400913
35,0.0034764729288
49,0.00413643864616
30,0.0129904271285
35,0.00201918335413
29,0.00303309851547
52,0.00469485154998
