voronoi_radius,transError.mean.std
14,0.128810550931
18,0.0626106276575
15,0.0363222141704
6,0.0240230927776
11,0.0231752964896
19,0.12471567563
20,0.118403445404
19,0.105974371826
20,0.0468835943002
16,0.0525575836354
14,0.0652650350355
10,0.0380406378831
10,0.048698079138
13,0.0465531383268
9,0.015699391456
10,0.0795487657361
20,0.0609893108178
19,0.0634488000674
21,0.121656676099
16,0.108765944747
40,0.116482183881
22,0.123971354033
11,0.117014135854
16,0.093854286797
9,0.0949115380575
14,0.113382526137
12,0.0940625752148
23,0.143229486163
22,0.0476951664389
19,0.0815122877936
17,0.0482871281887
18,0.109859637786
23,0.0815752280843
28,0.0639775660122
21,0.0966037993107
22,0.130209711384
8,0.0344430098623
17,0.0825251437691
18,0.0787229033116
12,0.0703616797672
20,0.136893046155
26,0.131748844655
17,0.0638479804609
22,0.0832238780337
20,0.112655965246
20,0.0882750414235
14,0.0630703094014
20,0.0904968358626
14,0.0844506183324
16,0.0812632064472
16,0.0478290808047
12,0.0665534059179
17,0.063039235743
23,0.0862053699096
18,0.0951669768786
16,0.0936298052555
14,0.083845172989
23,0.067525357097
15,0.0711609699581
14,0.0754858045801
4,0.0666286445176
16,0.06593977187
19,0.119219125795
14,0.060063217006
19,0.0967598598958
13,0.0600886637503
18,0.103345628507
15,0.0960266591481
18,0.0554747715395
29,0.117509395197
16,0.0976733690521
20,0.0490437767207
15,0.0852449136299
27,0.18024925237

5-Fold RMSE:,0.0265785245401,0.0250989017473,0.0323104674609,0.0297886638471,0.0297886638471
Average 5-Fold RMSE:,0.0281252549457

5-Fold rsquared:,0.097366524322,0.267233247037,0.0020256894903,0.176784231469,0.176784231469
Average 5-Fold rsquared:,-0.136980038601
