voronoi_std_closeness_centrality,transError.numSamples.mean
0.00741871144613,8502.88888889
0.00699868820091,4291.20833333
0.0162028340043,5073.26086957
0.0180723422608,2208.2
0.0143460382158,533.736842105
0.0334856533368,281.035714286
0.020401416029,375.75
0.0121833939039,3820.06451613
0.0101726693386,4729.04166667
0.0111789888503,3357.30434783
0.0129962715494,1109.95652174
0.0155910611826,244.540540541
0.0161896572248,830.8
0.0246489555346,180.0
0.0225383671267,450.733333333
0.0175173726078,457.388888889
0.0234215696698,628.1
0.0217815574121,954.971428571
0.0120222750025,914.034482759
0.0129204340926,2059.76470588
0.0105738429496,8900.875
0.0121048389773,2142.7826087
0.00310742205166,9951.88235294
0.0141771999006,5881.21428571
0.0180681349112,3028.03571429
0.0122438733975,12817.0714286
0.0237913288013,2496.67647059
0.0143990925972,8121.34782609
0.0151231404527,2459.1
0.0115281691071,3998.88235294
0.0110998846989,716.857142857
0.012394935845,843.47826087
0.0110110099535,3702.36363636
0.0130270578487,6648.12
0.00875221342896,4365.44444444
0.00976784712079,4280.06666667
0.010504734642,1701.35294118
0.00816683567122,3879.09375
0.0250352459787,189.695652174
0.0110216500896,1054.375
0.0127664010297,2765.85185185
0.0192787369224,1206.76923077
0.00952672556587,6532.5
0.00914047087579,3173.27272727
0.0161798718058,2456.83333333
0.0140280958987,2281.8
0.0092818621892,6061.31034483
0.0136604729771,8307.2
0.0164595556523,2598.6
0.012871900677,3927.24390244
0.0131870913257,1492.89285714
0.0140545346879,3379.41666667
0.0164976378118,655.766666667
0.0185512356271,964.583333333
0.0147849607696,1611.27777778
0.0115088999888,3842.36
0.00955666431135,1384.0
0.0136819240382,3280.36666667
0.0155996031848,2484.47619048
0.0117033474378,1119.77419355
0.0168711330914,581.0
0.0174204601188,510.341463415
0.0519139466047,1274.18518519
0.0156601313596,1420.46666667
0.0116531019994,4234.0625
0.0158865164552,754.666666667
0.0101031055214,3208.20833333
0.021634134839,407.793103448
0.0104434238961,2487.5
0.012002439584,2474.48571429
0.0148984712614,609.074074074
0.0133203744133,2976.25
0.0115536467413,461.08
0.0143915244288,1971.81578947

5-Fold RMSE:,1187.19102906,2367.34910732,1868.70643232,4059.10687102,4059.10687102
Average 5-Fold RMSE:,2404.40630482

5-Fold rsquared:,0.0910518362681,0.154416581554,0.228629502799,0.0731035212016,0.0731035212016
Average 5-Fold rsquared:,-1.78992207465
