voronoi_std_closeness_centrality,transError.numSamples.std
0.00741871144613,4574.73377354
0.00699868820091,3504.51641908
0.0162028340043,4516.12281977
0.0180723422608,1068.57195671
0.0143460382158,257.853455343
0.0334856533368,141.850142792
0.020401416029,182.929460449
0.0121833939039,3510.04999446
0.0101726693386,3935.77212331
0.0111789888503,4927.43898941
0.0129962715494,363.803157271
0.0155910611826,147.306005198
0.0161896572248,2626.374729
0.0246489555346,108.084781537
0.0225383671267,1084.0791156
0.0175173726078,183.153742003
0.0234215696698,273.731419461
0.0217815574121,642.991734482
0.0120222750025,702.453163625
0.0129204340926,1510.28589149
0.0105738429496,14727.7449601
0.0121048389773,2308.33572565
0.00310742205166,15286.2712796
0.0141771999006,8108.00744572
0.0180681349112,2866.01159506
0.0122438733975,24073.9681947
0.0237913288013,2219.38941949
0.0143990925972,8919.29941979
0.0151231404527,1725.55951023
0.0115281691071,3228.66340734
0.0110998846989,308.046732032
0.012394935845,701.623265043
0.0110110099535,12253.024445
0.0130270578487,5103.87888822
0.00875221342896,12190.977691
0.00976784712079,10206.0904135
0.010504734642,1947.88730019
0.00816683567122,4006.02426321
0.0250352459787,189.939449112
0.0110216500896,2139.14201672
0.0127664010297,4015.83521781
0.0192787369224,968.189122803
0.00952672556587,5532.41528027
0.00914047087579,1328.17120275
0.0161798718058,4913.35122961
0.0140280958987,897.213776087
0.0092818621892,12782.2996962
0.0136604729771,15884.6134701
0.0164595556523,3217.32940007
0.012871900677,4350.15152402
0.0131870913257,1687.4634671
0.0140545346879,2072.14962693
0.0164976378118,383.599850828
0.0185512356271,2014.30380687
0.0147849607696,1917.94562562
0.0115088999888,2174.75877982
0.00955666431135,1102.42140417
0.0136819240382,2925.49410622
0.0155996031848,3355.85891523
0.0117033474378,490.102011085
0.0168711330914,432.474999277
0.0174204601188,473.088895362
0.0519139466047,606.727838005
0.0156601313596,1136.24840985
0.0116531019994,4289.42952164
0.0158865164552,803.781894131
0.0101031055214,1881.63948857
0.021634134839,316.936671506
0.0104434238961,2151.72678867
0.012002439584,5518.65907301
0.0148984712614,350.849437575
0.0133203744133,9293.22106863
0.0115536467413,257.78020405
0.0143915244288,1433.91482635

5-Fold RMSE:,4453.66129142,3828.75001134,6160.26743016,4723.28426956,4723.28426956
Average 5-Fold RMSE:,4296.68602237

5-Fold rsquared:,-11.0445762949,0.201009769683,-0.0525838976048,-0.357980594413,-0.357980594413
Average 5-Fold rsquared:,-2.64837135913
