voronoi_avg_shortest_path_length,transError.numSamples.mean
12.5083333333,4854.31818182
13.3569271611,2208.2
12.912183908,533.736842105
5.78474576271,281.035714286
9.30294530154,375.75
12.3206884014,2982.96296296
16.1501124462,4729.04166667
16.4234150966,2494.54545455
14.6480345376,1109.95652174
12.2139696587,244.540540541
11.3142857143,830.8
8.58827160494,180.0
8.57716049383,450.733333333
10.682532418,456.135135135
7.91540616246,628.1
8.67536231884,954.971428571
16.3656387665,914.034482759
14.4232506728,2059.76470588
16.4339661845,8438.2173913
11.5084367246,1611.28571429
24.0119570496,6025.96969697
14.0247250894,4245.57692308
9.46532338308,2369.74358974
14.9227073619,11003.8461538
8.04121274409,2018.0
12.0442237501,8121.34782609
8.04257703081,2459.1
17.1090763052,2825.15384615
16.8520773344,898.038461538
14.4353595256,845.545454545
14.282835877,908.161290323
15.3235310498,6648.12
17.5499233156,2004.73076923
20.3348066541,1650.23076923
16.2894352159,1444.0
17.6897421203,4167.25714286
7.64877192982,160.676470588
12.9439687025,1054.375
13.0972090374,1731.48
9.9010989011,1206.76923077
16.4454892506,6763.84615385
22.6007609824,4317.96153846
12.4963662791,1501.82608696
15.6761002031,1183.46153846
15.0959665481,4219.69230769
15.7765005537,3851.77777778
12.0269053248,2071.29032258
15.4703899487,3696.67567568
11.876818816,1492.89285714
13.9151562839,3379.41666667
12.227715946,655.766666667
10.8023779499,619.76
12.8683986774,1611.27777778
17.2478158651,3842.36
11.9320570832,1278.8
13.4870361446,2906.77777778
12.3135100709,1697.56410256
16.7567925048,1119.77419355
12.165374677,581.0
11.5426798101,510.341463415
3.74025974026,1266.60714286
12.9842643588,1420.46666667
15.7706882489,3455.96666667
12.4842701937,754.666666667
13.5300479543,2924.18181818
9.91822222222,407.793103448
13.346740213,2267.29166667
12.3785714286,1168.5
13.5930449902,609.074074074
20.2936398381,4291.20833333
12.2111532504,1209.07692308
14.8327194292,461.08
13.2625249684,1971.81578947
21.4998288341,8361.53846154

5-Fold RMSE:,1908.18651424,1291.13739235,1708.65424891,2725.79776316,2725.79776316
Average 5-Fold RMSE:,1947.1979316

5-Fold rsquared:,0.462725841563,-0.0386190297329,0.338040126977,0.442778783292,0.442778783292
Average 5-Fold rsquared:,0.248218390556
