perimeter,transError.mean.std
919.385854688,0.128810550931
845.094809668,0.0626106276575
400.830204991,0.0363222141704
104.798400009,0.0240230927776
297.255462487,0.0231752964896
175.184877189,0.12471567563
975.710287307,0.118403445404
661.864870045,0.105974371826
461.959330453,0.0468835943002
301.700928702,0.0525575836354
395.362041332,0.0652650350355
266.76921056,0.0380406378831
190.183623926,0.048698079138
384.28900186,0.0465531383268
169.305586218,0.015699391456
547.895428741,0.0795487657361
663.883925852,0.0609893108178
569.465956684,0.0634488000674
277.253593842,0.121656676099
186.385475943,0.108765944747
266.853191731,0.116482183881
251.520417083,0.123971354033
217.978099666,0.117014135854
413.568733758,0.093854286797
161.46910584,0.0949115380575
333.320883456,0.113382526137
348.726342602,0.0940625752148
582.414195881,0.143229486163
416.287346717,0.0476951664389
602.450956601,0.0815122877936
625.529006956,0.0482871281887
1411.67024864,0.109859637786
687.006424965,0.0815752280843
804.802666284,0.0639775660122
325.157616123,0.0966037993107
394.105092531,0.130209711384
254.907573617,0.0344430098623
512.058047582,0.0825251437691
574.390274931,0.0787229033116
577.749460923,0.0703616797672
462.202334131,0.136893046155
542.151199633,0.131748844655
607.353417602,0.0638479804609
895.078361009,0.0832238780337
810.652971073,0.112655965246
791.247099826,0.0882750414235
523.504495381,0.0630703094014
642.501394841,0.0904968358626
438.695516966,0.0844506183324
921.061208435,0.0812632064472
425.51985706,0.0478290808047
383.553654629,0.0665534059179
611.004216827,0.063039235743
1094.05395026,0.0862053699096
396.724658884,0.0951669768786
623.982104305,0.0936298052555
673.355919531,0.083845172989
614.642509546,0.067525357097
383.053807066,0.0711609699581
377.554649486,0.0754858045801
798.372831181,0.0666286445176
541.589338691,0.06593977187
479.641424654,0.119219125795
562.534496366,0.060063217006
398.050280897,0.0967598598958
346.945664463,0.0600886637503
629.847164937,0.103345628507
243.197749682,0.0960266591481
431.988152916,0.0554747715395
476.307895935,0.117509395197
609.954365264,0.0976733690521
446.124179764,0.0490437767207
1033.37498647,0.0852449136299
383.710764507,0.18024925237

5-Fold RMSE:,0.0265153428918,0.0302526611001,0.0361855706366,0.0279562794074,0.0279562794074
Average 5-Fold RMSE:,0.0315351507484

5-Fold rsquared:,-0.0397782452822,0.0612314288345,-0.179605632198,0.0481526105238,0.0481526105238
Average 5-Fold rsquared:,-0.0187766071286
