topology_avg_katz_centrality,rotError.std.std
0.152012508979,0.00570813314798
0.19348855763,0.00238204213415
0.274857823643,0.00443794731193
0.315688199115,0.00221181244909
0.281188123319,0.00124875791759
0.13687879313,0.00692890029398
0.149691632732,0.00526352379524
0.200394557396,0.00916339305052
0.225986597665,0.00109827381314
0.255507311148,0.001820392131
0.240292386743,0.0115835540733
0.253883083042,0.00242628577179
0.245140367357,0.00881799279479
0.240554468057,0.00156947572306
0.253300745845,0.00133593491358
0.240402348022,0.0033034977955
0.197358951489,0.00427790386373
0.576851478367,0.010818340273
0.137896297217,0.0073614093577
0.222462593068,0.0020421627691
0.140375197828,0.00882900353326
0.184491558962,0.0056069691509
0.174610713191,0.00964521917124
0.168023315729,0.0102373131119
0.221789361423,0.00694223066048
0.217728809152,0.00719629727175
0.21855578736,0.00729724936466
0.177783461173,0.00941862106525
0.162643088488,0.00165015637774
0.15905127118,0.00327309840264
0.162992923157,0.00344135860057
0.194677300978,0.00431503222254
0.122273092524,0.00820748297377
0.139000400145,0.038374045582
0.137439770012,0.00800000789555
0.134265682771,0.00653686665775
0.273817367365,0.0030003076901
0.153884368942,0.00533292057631
0.173718373605,0.00671912860422
0.23768993686,0.00480609803905
0.151720774244,0.00899802736477
0.205673933659,0.00879950207474
0.213572373485,0.0034406223505
0.144439568071,0.00161564506
0.17493981875,0.00646094092521
0.153835261752,0.00512121237682
0.187006207323,0.00772600753931
0.225837365907,0.00810460207062
0.244355748718,0.00596216482169
0.190490479867,0.00468461053166
0.21338935033,0.00290363576381
0.215991842591,0.00727200671353
0.20472205591,0.00593740494427
0.158341350822,0.0031691424541
0.197191271315,0.00360718859354
0.194739301254,0.00760278416857
0.22139266437,0.00281495176744
0.180352476788,0.00295568783369
0.209504868068,0.00587875703598
0.24633950968,0.00492444947089
0.226325241251,0.00274550707465
0.240534450369,0.00668196581096
0.165392862514,0.00693703706243
0.215217790547,0.00651974844058
0.17256521982,0.0105001485137
0.240540169197,0.00348419817228
0.156033511459,0.00672065780498
0.159984669078,0.00427584456832
0.245946325233,0.0034764729288
0.14490959715,0.218382402573
0.197164987585,0.0062202472559
0.222971811884,0.00201918335413
0.175433513511,0.00303309851547
0.164520601552,0.00630615992045

5-Fold RMSE:,0.00326800678698,0.00835271250809,0.00717072692333,0.0154202391717,0.0154202391717
Average 5-Fold RMSE:,0.0181758907984

5-Fold rsquared:,0.14070795873,-3.77045508492,-3.51762304062,-0.0624284341745,-0.0624284341745
Average 5-Fold rsquared:,-2.17110905033
