entropy,rotError.numSamples.std
0.3221447186,4496.65449768
0.470907976972,1068.57195671
0.523778963834,257.853455343
0.395497312924,141.850142792
0.328353771228,182.929460449
0.29333028783,2244.05747734
0.370370404356,3935.77212331
0.274988878465,2874.5710625
0.206876229631,363.803157271
0.538030318706,147.306005198
0.295756027505,2626.374729
0.380368228615,108.084781537
0.382280806687,1084.0791156
0.479363399065,180.818284498
0.348905806613,273.731419461
0.333070872241,642.991734482
0.254912011889,702.453163625
0.55908348168,1510.28589149
0.308572760262,14872.7918784
0.318539406313,720.79837633
0.277888866018,9225.92445392
0.284676724208,3023.39259484
0.297507395277,2651.41884337
0.204850511929,24043.8800652
0.234452734746,1616.41335473
0.306951959387,8919.29941979
0.335083355922,1725.55951023
0.446540182952,1863.36560045
0.505791691597,624.17813537
0.510763420494,620.469279434
0.329875981726,857.003410118
0.39131588904,5103.87888822
0.756474176243,1966.19530209
0.636473091808,1057.23261059
0.607846472941,1483.83345876
0.568528908897,3961.17166175
0.558090194533,165.786311893
0.398900389202,2139.14201672
0.51387932211,1428.99660238
0.393196937981,968.189122803
0.484828329434,5433.37490878
0.37395692585,3842.62601996
0.410231936509,1817.05743137
0.326105044278,691.528513091
0.521749511142,8506.08116752
0.405325651205,3722.68290681
0.333393618806,1936.04140841
0.437642046974,4393.41939757
0.329219680936,1687.4634671
0.255193614573,2072.14962693
0.291600149817,383.599850828
0.360445393349,786.667567909
0.50107086266,1917.94562562
0.527835552252,2174.75877982
0.380530385989,748.389444073
0.529081411403,2608.69783514
0.450537965723,1354.24201138
0.442437535411,490.102011085
0.423383015861,432.474999277
0.454458774711,473.088895362
0.433576786625,597.094712473
0.488364877974,1136.24840985
0.554227610854,3100.93252085
0.438986776868,803.781894131
0.472547868952,1700.53022844
0.464185790183,316.936671506
0.557906180205,2065.32399555
0.63559816881,1024.40711512
0.482066878387,350.849437575
0.568207500774,3504.51641908
0.452134192471,2631.23148885
0.553248122712,257.78020405
0.313819750698,1433.91482635
0.687950739326,4268.01882728

5-Fold RMSE:,2169.89316153,5914.09221151,3701.26572141,2119.35191535,2119.35191535
Average 5-Fold RMSE:,3255.62817534

5-Fold rsquared:,-0.566560611899,-0.0374005989242,-0.333382361503,0.12905503553,0.12905503553
Average 5-Fold rsquared:,-0.175457125095
