topology_avg_closeness_centrality,rotError.numSamples.std
0.327739729602,4574.73377354
0.370196021598,3504.51641908
0.284488279077,4516.12281977
0.370535696424,1068.57195671
0.358863475026,257.853455343
0.350465651995,141.850142792
0.567857142857,182.929460449
0.350927942074,3510.04999446
0.427792565408,3935.77212331
0.312405095581,4927.43898941
0.329418318811,363.803157271
0.36624766393,147.306005198
0.325865200622,2626.374729
0.394037999891,108.084781537
0.417940572526,1084.0791156
0.556821291735,183.153742003
0.464896387222,273.731419461
0.547413793103,642.991734482
0.273047839118,702.453163625
0.777777777778,1510.28589149
0.341150943476,14727.7449601
0.4281060583,2308.33572565
0.42200643551,15286.2712796
0.488065475429,8108.00744572
0.461444444904,2866.01159506
0.31302022507,24073.9681947
0.458570826992,2219.38941949
0.41996024624,8919.29941979
0.53984962406,1725.55951023
0.321027376431,3228.66340734
0.189915402114,308.046732032
0.324047864311,701.623265043
0.33979368597,12253.024445
0.352171322103,5103.87888822
0.259287867843,12190.977691
0.320506146099,10206.0904135
0.275527456151,1947.88730019
0.277062827077,4006.02426321
0.4379649762,189.939449112
0.281287246979,2139.14201672
0.307063318781,4015.83521781
0.415539839586,968.189122803
0.261732493222,5532.41528027
0.302416892695,1328.17120275
0.384808883271,4913.35122961
0.219125448248,897.213776087
0.401346505261,12782.2996962
0.278481518716,15884.6134701
0.315127997702,3217.32940007
0.3736125688,4350.15152402
0.452601597772,1687.4634671
0.278791459505,2072.14962693
0.391192719863,383.599850828
0.439189149067,2014.30380687
0.297418731391,1917.94562562
0.261752702654,2174.75877982
0.408935571873,1102.42140417
0.345619064651,2925.49410622
0.320985703109,3355.85891523
0.236469882369,490.102011085
0.351668103559,432.474999277
0.40030941228,473.088895362
0.348572411089,606.727838005
0.338184595993,1136.24840985
0.297037369872,4289.42952164
0.343097345261,803.781894131
0.424645653444,1881.63948857
0.552032019704,316.936671506
0.361359086553,2151.72678867
0.387862468291,5518.65907301
0.406535603422,350.849437575
0.401704629629,9293.22106863
0.440632856899,257.78020405
0.394681310097,1433.91482635

5-Fold RMSE:,6587.41151318,4877.95098204,3746.02298715,3343.1211738,3343.1211738
Average 5-Fold RMSE:,4364.30054479

5-Fold rsquared:,-0.207285510257,0.0450876964377,0.0180962847954,0.01288390244,0.01288390244
Average 5-Fold rsquared:,-0.0182689691811
