std_katz_centrality,transError.std.mean
0.0624731549568,0.610577304348
0.063752172964,0.3833542
0.0754900972952,0.198447578947
0.129091206881,0.12269
0.102657659336,0.153758035714
0.0661008951017,0.492268548387
0.0502704418861,0.531760416667
0.0586127538334,0.440496478261
0.0780340421936,0.30601326087
0.0939892490074,0.133319189189
0.0975397092036,0.194677542857
0.111014569034,0.11035772
0.110099823171,0.139761666667
0.0929712298051,0.178345722222
0.108205660452,0.2198439
0.119112086547,0.243437428571
0.0659829233406,0.273808166667
0.0585913436971,0.338521882353
0.0598248730876,0.61062825
0.0772516261558,0.359939652174
0.048109504833,0.588087103448
0.0637167667236,0.628137071429
0.0692008974402,0.443055071429
0.0544424123813,0.999427916667
0.0841168072726,0.398797941176
0.0797494568412,0.690604043478
0.106868056324,0.404276533333
0.0631905584655,0.493052294118
0.0669254864612,0.232889238095
0.059006633997,0.221677130435
0.0592550204987,0.341540409091
0.0714572904211,0.65674012
0.0434370069683,0.423536259259
0.0483911660079,0.4465398
0.0575331907477,0.306929823529
0.0534243204259,0.480697125
0.114707065441,0.108247869565
0.0680103608451,0.1948145
0.0658075265519,0.405104185185
0.0968684562829,0.273577115385
0.0561712509096,0.694026083333
0.0581987476898,0.480950272727
0.0879679595136,0.326498583333
0.0683610410463,0.4142652
0.0597913687418,0.500458896552
0.0575400519371,0.625794366667
0.0725973866224,0.379335257143
0.0657233059386,0.487031439024
0.0755615846501,0.309707785714
0.060574938632,0.515047357143
0.0835822171484,0.218116833333
0.0738591884147,0.219631666667
0.0824780523605,0.310407555556
0.0616037184567,0.50208644
0.0755455798348,0.3024675
0.062966882775,0.464581966667
0.0788806200449,0.379500214286
0.0722201300189,0.286365322581
0.0761861508636,0.206892133333
0.0773264365088,0.171382926829
0.204263905889,0.324577269231
0.0891668487181,0.287927933333
0.0628086114111,0.50571615625
0.0823513570222,0.224714148148
0.0641495247308,0.500257916667
0.089069884571,0.153626448276
0.066034753817,0.398803653846
0.0594085046862,0.389266045455
0.0680457197775,0.203370592593
0.0464069089952,0.525956928571
0.0713808637398,0.304974964286
0.0637154343161,0.17280424
0.0671155361255,0.366907921053
0.0394800592855,0.741109166667
