voronoi_traversal_rotation,transError.numSamples.mean
383.11155342,4854.31818182
299.224987726,2208.2
226.003670468,533.736842105
65.6201458925,281.035714286
119.373687987,375.75
298.40968252,2982.96296296
531.828197886,4729.04166667
350.187357947,2494.54545455
194.123703961,1109.95652174
136.791651053,244.540540541
142.527427016,830.8
93.9540558552,180.0
112.722731226,450.733333333
163.845822573,456.135135135
166.514228449,628.1
99.3153433059,954.971428571
294.725708146,914.034482759
393.873036041,2059.76470588
463.90477356,8438.2173913
189.655868233,1611.28571429
493.115537244,6025.96969697
273.909081263,4245.57692308
291.098597003,2369.74358974
247.053934824,11003.8461538
212.580961906,2018.0
255.161221325,8121.34782609
154.379223345,2459.1
321.530644611,898.038461538
403.087870914,845.545454545
425.021775933,908.161290323
293.121426335,6648.12
593.843879979,2004.73076923
538.679861002,1650.23076923
459.10700613,1444.0
473.944548731,4167.25714286
144.966338136,160.676470588
350.705972495,1054.375
311.405157352,1731.48
166.199693564,1206.76923077
453.205692733,6763.84615385
263.788701522,4317.96153846
198.358452797,1501.82608696
282.992600807,1183.46153846
384.492596967,4219.69230769
404.099217031,3851.77777778
235.588634426,2071.29032258
229.212945534,3696.67567568
184.662743682,1492.89285714
355.377918967,3379.41666667
171.74666032,655.766666667
224.47594753,619.76
167.825668593,1611.27777778
307.207591809,3842.36
239.186424328,1278.8
276.832203798,2906.77777778
226.516662992,1697.56410256
261.569459102,1119.77419355
231.322208878,581.0
190.252000937,510.341463415
19.7037549351,1266.60714286
181.358181073,1420.46666667
329.711625302,3455.96666667
186.04419983,754.666666667
342.429442135,2924.18181818
154.630366434,407.793103448
356.5562977,2267.29166667
344.249370086,1168.5
271.307075133,609.074074074
273.749097052,1209.07692308
327.830406313,461.08
288.227981357,1971.81578947

5-Fold RMSE:,2760.47787845,1694.81651731,1272.18869379,1286.97829796,1286.97829796
Average 5-Fold RMSE:,1910.00455651

5-Fold rsquared:,-0.0333445914688,0.213784845474,0.315451724853,-0.801674091219,-0.801674091219
Average 5-Fold rsquared:,-0.0512662382637
