voronoi_traversal_distance,transError.mean.mean
1349.09985599,0.494097045455
919.718726924,0.347489733333
419.663612797,0.178033842105
211.703543676,0.111519571429
265.490773911,0.135674892857
1173.06783952,0.500454518519
1490.99507567,0.483538
841.175649661,0.314663090909
512.459790786,0.266804521739
183.023661923,0.136014027027
288.952643527,0.1602634
191.014634059,0.11330008
162.313862645,0.120517266667
384.763332574,0.168670918919
546.868433022,0.1753349
384.284799509,0.250973828571
1093.28515564,0.255138206897
823.369821087,0.275744352941
1603.67256076,0.550894956522
726.421235223,0.348672047619
1455.54715772,0.556707151515
1342.9430314,0.560622653846
608.712541442,0.375646230769
1371.34741951,0.493396230769
550.763056801,0.349249866667
1001.59400158,0.511895521739
498.802202458,0.3828526
951.22385554,0.376691423077
633.149187702,0.2061935
808.608614515,0.234490727273
897.190026783,0.250467741935
1578.35836762,0.63580396
918.534020399,0.298866
1008.03211816,0.263492076923
870.931728251,0.279235933333
1371.33686714,0.469986628571
274.928270325,0.0827919117647
658.752298095,0.224303125
750.178214424,0.36068872
510.678711028,0.297397730769
1567.27616653,0.687380423077
1367.57529848,0.594765692308
492.886623007,0.276685391304
740.557101864,0.26799774359
1069.35769226,0.394348115385
1006.22432177,0.407328592593
520.067365763,0.301939870968
717.088483789,0.337777675676
354.772213719,0.301987178571
1193.67522752,0.381142583333
439.245777626,0.2053401
431.491340742,0.16422708
425.603880936,0.273704222222
1025.57459113,0.42013416
589.758911653,0.315128875
656.952316561,0.391206259259
754.01694709,0.319272923077
699.590611899,0.283932129032
484.299613589,0.19405875
339.901939934,0.191225219512
205.223499199,0.287816464286
609.45010448,0.3031
1187.28583886,0.4451378
639.103357547,0.236201074074
874.938568522,0.513622636364
285.340344762,0.154262137931
870.904226907,0.395215916667
731.103227949,0.2822633125
618.684245989,0.189719777778
2080.31115619,0.513207166667
786.534337607,0.240103076923
653.648966259,0.17891308
1138.67499527,0.367190842105
2035.82864252,0.626637846154

5-Fold RMSE:,0.0471098731989,0.102969757281,0.0853126544893,0.0653792645642,0.0653792645642
Average 5-Fold RMSE:,0.0740049697517

5-Fold rsquared:,0.799599444368,0.521623966389,0.235030943629,0.85274158923,0.85274158923
Average 5-Fold rsquared:,0.606604424518
