perimeter,transError.mean.mean
919.385854688,0.494097045455
845.094809668,0.347489733333
400.830204991,0.178033842105
104.798400009,0.111519571429
297.255462487,0.135674892857
175.184877189,0.500454518519
975.710287307,0.483538
661.864870045,0.314663090909
461.959330453,0.266804521739
301.700928702,0.136014027027
395.362041332,0.1602634
266.76921056,0.11330008
190.183623926,0.120517266667
384.28900186,0.168670918919
169.305586218,0.1753349
547.895428741,0.250973828571
663.883925852,0.255138206897
569.465956684,0.275744352941
277.253593842,0.550894956522
186.385475943,0.348672047619
266.853191731,0.556707151515
251.520417083,0.560622653846
217.978099666,0.375646230769
413.568733758,0.493396230769
161.46910584,0.349249866667
333.320883456,0.511895521739
348.726342602,0.3828526
582.414195881,0.376691423077
416.287346717,0.2061935
602.450956601,0.234490727273
625.529006956,0.250467741935
1411.67024864,0.63580396
687.006424965,0.298866
804.802666284,0.263492076923
325.157616123,0.279235933333
394.105092531,0.469986628571
254.907573617,0.0827919117647
512.058047582,0.224303125
574.390274931,0.36068872
577.749460923,0.297397730769
462.202334131,0.687380423077
542.151199633,0.594765692308
607.353417602,0.276685391304
895.078361009,0.26799774359
810.652971073,0.394348115385
791.247099826,0.407328592593
523.504495381,0.301939870968
642.501394841,0.337777675676
438.695516966,0.301987178571
921.061208435,0.381142583333
425.51985706,0.2053401
383.553654629,0.16422708
611.004216827,0.273704222222
1094.05395026,0.42013416
396.724658884,0.315128875
623.982104305,0.391206259259
673.355919531,0.319272923077
614.642509546,0.283932129032
383.053807066,0.19405875
377.554649486,0.191225219512
798.372831181,0.287816464286
541.589338691,0.3031
479.641424654,0.4451378
562.534496366,0.236201074074
398.050280897,0.513622636364
346.945664463,0.154262137931
629.847164937,0.395215916667
243.197749682,0.2822633125
431.988152916,0.189719777778
476.307895935,0.513207166667
609.954365264,0.240103076923
446.124179764,0.17891308
1033.37498647,0.367190842105
383.710764507,0.626637846154

5-Fold RMSE:,0.0956755732803,0.163715857265,0.142113444211,0.112356226036,0.112356226036
Average 5-Fold RMSE:,0.135170213109

5-Fold rsquared:,-0.0551312639156,-0.0822492355099,0.205506310465,-0.0783438029358,-0.0783438029358
Average 5-Fold rsquared:,-0.0342813388393
