topology_diameter,transError.std.std
7,0.226872799473
6,0.0888341978949
5,0.0536568207547
6,0.0531756045959
2,0.0388866547706
6,0.156091446153
5,0.204774691356
7,0.189473879231
6,0.0429963941514
6,0.0500640527086
6,0.160692173355
6,0.0364422115207
5,0.115579807708
2,0.0365550743802
3,0.0491585794691
2,0.0890782760547
8,0.0933187599678
2,0.138087316178
6,0.258353516079
4,0.0779121061829
5,0.259494989064
4,0.214149069586
4,0.160472378798
5,0.578481679757
4,0.14193715639
4,0.390698889866
2,0.145785206544
8,0.196101691352
13,0.0540020208264
6,0.0639730578518
6,0.0642383791162
7,0.258741211908
8,0.131888311652
8,0.126072926139
8,0.124697260981
8,0.192108034661
4,0.0517409309399
8,0.150426578073
7,0.141387393986
4,0.0819226964463
8,0.284322556163
6,0.268748777682
5,0.0698040570684
12,0.0777311359681
4,0.221015525555
7,0.170190402896
8,0.10685390071
4,0.237490765274
3,0.110170635227
8,0.172007018126
4,0.0621497895481
5,0.110615023941
6,0.126944549297
8,0.109794391941
5,0.0809823194632
7,0.12386252947
6,0.0966363792344
10,0.064450068138
6,0.0692099506632
4,0.075847820682
6,0.113532147819
5,0.129796983767
7,0.192206970562
5,0.105334107197
4,0.145524364411
2,0.0596299714663
6,0.130217601143
4,0.0974594238893
5,0.0743403423368
6,0.167837658831
5,0.168709916846
4,0.0562958637779
5,0.116143743091
7,0.206076064429

5-Fold RMSE:,0.0746029550583,0.150019840359,0.0687777327807,0.0576651318164,0.0576651318164
Average 5-Fold RMSE:,0.0835738124538

5-Fold rsquared:,-0.124710959452,-0.0337853014905,-0.92737737643,-0.147538051912,-0.147538051912
Average 5-Fold rsquared:,-0.255599862401
