topology_edges,transError.std.mean
54,0.778805
48,0.522405666667
48,0.611337304348
32,0.3833542
13,0.198447578947
10,0.12269
12,0.153758035714
63,0.492268548387
43,0.531760416667
26,0.440496478261
23,0.30601326087
14,0.133319189189
16,0.194677542857
15,0.11035772
22,0.139761666667
19,0.178345722222
18,0.2198439
15,0.243437428571
30,0.256086724138
2,0.338521882353
67,0.61062825
21,0.359939652174
49,0.708234558824
32,0.628137071429
41,0.443055071429
37,0.936557642857
18,0.398797941176
19,0.690604043478
18,0.404276533333
36,0.493052294118
42,0.232889238095
46,0.221677130435
39,0.341540409091
24,0.65674012
90,0.423536259259
57,0.4465398
57,0.306929823529
63,0.480697125
13,0.108247869565
47,0.236416833333
35,0.405104185185
16,0.273577115385
51,0.694026083333
23,0.480950272727
23,0.326498583333
59,0.4142652
30,0.500458896552
50,0.625794366667
29,0.379335257143
19,0.487031439024
18,0.309707785714
32,0.503770083333
20,0.218116833333
21,0.213804791667
26,0.310407555556
43,0.50208644
25,0.3024675
26,0.464581966667
20,0.379500214286
31,0.286365322581
22,0.19540578125
15,0.171382926829
18,0.326238777778
16,0.287927933333
37,0.50571615625
20,0.224714148148
35,0.500257916667
17,0.153626448276
39,0.398803653846
46,0.341757914286
17,0.203370592593
27,0.304974964286
21,0.17280424
35,0.366907921053

5-Fold RMSE:,0.13831262053,0.23006077827,0.12780935979,0.140623430787,0.140623430787
Average 5-Fold RMSE:,0.154564015593

5-Fold rsquared:,0.107379353566,0.312968629507,0.287069758855,0.144275261753,0.144275261753
Average 5-Fold rsquared:,0.268177127667
