topology_avg_closeness_centrality,transError.mean.std
0.327739729602,0.187622165382
0.370196021598,0.117509395197
0.284488279077,0.150879627982
0.370535696424,0.0626106276575
0.358863475026,0.0363222141704
0.350465651995,0.0240230927776
0.567857142857,0.0231752964896
0.350927942074,0.244942705536
0.427792565408,0.118403445404
0.312405095581,0.25684750383
0.329418318811,0.0468835943002
0.36624766393,0.0525575836354
0.325865200622,0.0652650350355
0.394037999891,0.0380406378831
0.417940572526,0.048698079138
0.556821291735,0.0471928668924
0.464896387222,0.015699391456
0.547413793103,0.0795487657361
0.273047839118,0.0609893108178
0.777777777778,0.0634488000674
0.341150943476,0.157331633444
0.4281060583,0.225853461955
0.42200643551,0.335983825039
0.488065475429,0.192289958812
0.461444444904,0.0925116985357
0.31302022507,0.173005460782
0.458570826992,0.150862439925
0.41996024624,0.113382526137
0.53984962406,0.0940625752148
0.321027376431,0.228409668405
0.189915402114,0.0484971177734
0.324047864311,0.0700468458533
0.33979368597,0.287812908678
0.352171322103,0.109859637786
0.259287867843,0.30823195051
0.320506146099,0.251954545215
0.275527456151,0.158847840005
0.277062827077,0.112238353718
0.4379649762,0.0402882774962
0.281287246979,0.0825251437691
0.307063318781,0.1264444763
0.415539839586,0.0703616797672
0.261732493222,0.114763250904
0.302416892695,0.0896356459078
0.384808883271,0.185040710074
0.219125448248,0.14370205831
0.401346505261,0.281651273406
0.278481518716,0.217198105027
0.315127997702,0.0868164172079
0.3736125688,0.121972989288
0.452601597772,0.0844506183324
0.278791459505,0.0812632064472
0.391192719863,0.0478290808047
0.439189149067,0.165411061738
0.297418731391,0.063039235743
0.261752702654,0.0862053699096
0.408935571873,0.123650418782
0.345619064651,0.166220167829
0.320985703109,0.205108169667
0.236469882369,0.067525357097
0.351668103559,0.0711609699581
0.40030941228,0.0754858045801
0.348572411089,0.0664587250454
0.338184595993,0.06593977187
0.297037369872,0.17018166168
0.343097345261,0.060063217006
0.424645653444,0.14039673261
0.552032019704,0.0600886637503
0.361359086553,0.141798879212
0.387862468291,0.259118831645
0.406535603422,0.0554747715395
0.401704629629,0.22720282762
0.440632856899,0.0490437767207
0.394681310097,0.0852449136299

5-Fold RMSE:,0.0719493152631,0.0946602291931,0.0741613049807,0.0700763535435,0.0700763535435
Average 5-Fold RMSE:,0.0750412279624

5-Fold rsquared:,0.0136997683862,0.041998139002,0.0466922313263,-0.0711322220425,-0.0711322220425
Average 5-Fold rsquared:,0.0162078993693
